# Genepanel: TrioPU Version: 01 Date: 2016-01-21        Post-processed: 2016-05-02
gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ALG12	Congenital disorder of glycosylation, type Ig		607143			
ALG13	Congenital disorder of glycosylation, type Is	XR	300884			
ALG2	Myasthenic syndrome, congenital, 14, with tubular aggregates	AR	616228			
ALG2	?Congenital disorder of glycosylation, type Ii	AR	607906			
ALG3	Congenital disorder of glycosylation, type Id	AR	601110			
ALG6	Congenital disorder of glycosylation, type Ic	AR	603147			
ALG8	Congenital disorder of glycosylation, type Ih		608104			
ALG9	Congenital disorder of glycosylation, type Il		608776			
ALMS1	Alstrom syndrome	AR	203800			
ALPL	Hypophosphatasia, infantile	AR	241500			
ALPL	Hypophosphatasia, childhood	AR	241510			
ALX1	?Frontonasal dysplasia 3	AR	613456		!	
ALX3	Frontonasal dysplasia 1	AR	136760			
ALX4	Parietal foramina 2	AD	609597			
ALX4	Frontonasal dysplasia 2	AR	613451			
AMER1	Osteopathia striata with cranial sclerosis	XD	300373			
AMT	Glycine encephalopathy	AR	605899			
ANKRD11	KBG syndrome	AD	148050			
AP1S2	Mental retardation, X-linked syndromic 5	XR	304340			
AP4B1	Spastic paraplegia 47, autosomal recessive	AR	614066			
AP4E1	Spastic paraplegia 51, autosomal recessive	AR	613744			
AP4M1	Spastic paraplegia 50, autosomal recessive	AR	612936			
AP4S1	Spastic paraplegia 52, autosomal recessive	AR	614067			
APTX	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	208920			
ARFGEF2	Periventricular heterotopia with microcephaly	AR	608097			
ARG1	Argininemia	AR	207800			
ARHGAP31	Adams-Oliver syndrome 1	AD	100300			
ARHGEF6	Mental retardation, X-linked 46	XR	300436			
ARHGEF9	Epileptic encephalopathy, early infantile, 8	XR	300607			
ARID1A	Mental retardation, autosomal dominant 14		614607			
ARID1B	Mental retardation, autosomal dominant 12		614562			
ARL6	Bardet-Biedl syndrome 3	AR	600151			
ARSA	Metachromatic leukodystrophy	AR	250100			
ARSE	Chondrodysplasia punctata, X-linked recessive	XR	302950			
ARX	Hydranencephaly with abnormal genitalia	XR	300215		!	
ARX	Epileptic encephalopathy, early infantile, 1	XR	308350			
ARX	Proud syndrome	X	300004			
ARX	Partington syndrome	XR	309510			
ARX	Mental retardation, X-linked 29 and others	XR	300419		!	
ARX	Lissencephaly, X-linked 2	XR	300215			
ASAH1	Spinal muscular atrophy with progressive myoclonic epilepsy	AR	159950			
ASAH1	Farber lipogranulomatosis	AR	228000			
ASL	Argininosuccinic aciduria	AR	207900			
ASPA	Canavan disease	AR	271900			
ASPM	Microcephaly 5, primary, autosomal recessive	AR	608716			
ASS1	Citrullinemia	AR	215700			
ASXL1	Bohring-Opitz syndrome	AD	605039			
ATIC	AICA-ribosiduria due to ATIC deficiency	AR	608688			
ATM	Ataxia-telangiectasia	AR	208900		!	
ATP13A2	?Ceroid lipofuscinosis, neuronal, 12	AR	606693			
ATP13A2	Kufor-Rakeb syndrome	AR	606693			
ATP1A3	CAPOS syndrome	AD	601338			
ATP1A3	Alternating hemiplegia of childhood 2	AD	614820			
ATP6AP2	?Mental retardation, X-linked, syndromic, Hedera type	XR	300423			
ATP7A	Occipital horn syndrome	XR	304150			
ATP7A	Menkes disease	XR	309400			
ATR	Seckel syndrome 1	AR	210600			
ATRX	Mental retardation-hypotonic facies syndrome, X-linked	XR	309580			
ATRX	Alpha-thalassemia/mental retardation syndrome	XD	301040			
AUH	3-methylglutaconic aciduria, type I	AR	250950			
AUTS2	Mental retardation, autosomal dominant 26	AD	615834			
B4GALT7	Ehlers-Danlos syndrome, progeroid type, 1	AR	130070			
BBS1	Bardet-Biedl syndrome 1	AR;DR	209900			
BBS10	Bardet-Biedl syndrome 10	AR	615987			
BBS12	Bardet-Biedl syndrome 12	AR	615989			
BBS2	Bardet-Biedl syndrome 2	AR	615981			
BBS4	Bardet-Biedl syndrome 4	AR	615982			
BBS5	Bardet-Biedl syndrome 5	AR	615983			
BBS7	Bardet-Biedl syndrome 7	AR	615984			
BBS9	Bardet-Biedl syndrome 9	AR	615986			
BCAP31	Deafness, dystonia, and cerebral hypomyelination	XR	300475			
BCKDHA	Maple syrup urine disease, type Ia	AR	248600			
BCKDHB	Maple syrup urine disease, type Ib	AR	248600			
BCOR	Microphthalmia, syndromic 2	XD	300166			
BCS1L	Bjornstad syndrome	AR	262000			
BCS1L	Mitochondrial complex III deficiency, nuclear type 1	AR	124000			
BCS1L	Leigh syndrome	AR	256000		!	
BIN1	Myopathy, centronuclear, autosomal recessive	AR	255200			
BLM	Bloom syndrome	AR	210900			
BMP4	Orofacial cleft 11		600625			
BMP4	Microphthalmia, syndromic 6	AD	607932			
BMPER	Diaphanospondylodysostosis	AR	608022			
BOLA3	Multiple mitochondrial dysfunctions syndrome 2	AR	614299			
BRAF	Cardiofaciocutaneous syndrome	AD	115150		!	
BRAF	Noonan syndrome 7	AD	613706		!	
BRAF	LEOPARD syndrome 3	AD	613707			
BRAT1	Rigidity and multifocal seizure syndrome, lethal neonatal	AR	614498			
BRCA2	Fanconi anemia, complementation group D1	AR	605724			Inkluderes etter vedtak i ledergruppen
BRIP1	Fanconi anemia, complementation group J	AR	609054			
BRWD3	Mental retardation, X-linked 93	XR	300659			
BSND	Bartter syndrome, type 4a	AR	602522			
BTD	Biotinidase deficiency	AR	253260			
BUB1B	Mosaic variegated aneuploidy syndrome 1	AR	257300			
C12orf57	Temtamy syndrome	AR	218340			
C12orf65	Spastic paraplegia 55, autosomal recessive	AR	615035			
C12orf65	Combined oxidative phosphorylation deficiency 7	AR	613559			
C5orf42	Orofaciodigital syndrome VI	AR	277170			
C5orf42	Joubert syndrome 17	AR	614615			
CA2	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	AR	259730			
CA8	Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3	AR	613227			
CACNA1C	Timothy syndrome	AD	601005			
CACNA1D	Primary aldosteronism, seizures, and neurologic abnormalities	AD	615474			
CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation	AD	614756			
CAPN10	{Diabetes mellitus, noninsulin-dependent 1}, intellectual disability	AR	601283	25773692	!	
CASK	Mental retardation and microcephaly with pontine and cerebellar hypoplasia	XD	300749			
CASK	FG syndrome 4		300422			
CASK	Mental retardation, with or without nystagmus		300422			
CASP2					!	
CAV1	?Lipodystrophy, congenital generalized, type 3	AR	612526			
CAV1	?Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome	AD	606721			
CBL	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia	AD	613563			
CBS	Homocystinuria, B6-responsive and nonresponsive types	AR	236200			
CC2D1A	Mental retardation, autosomal recessive 3	AR	608443			
CC2D2A	COACH syndrome	AR	216360			
CC2D2A	Meckel syndrome 6	AR	612284			
CC2D2A	Joubert syndrome 9	AR	612285			
CCBE1	Hennekam lymphangiectasia-lymphedema syndrome 1	AR	235510			
CCDC22	Ritscher-Schinzel syndrome 2	XR	300963			
CD96	C syndrome	AR	211750			
CDC6	Meier-Gorlin syndrome 5	AR	613805			
CDH15	Mental retardation, autosomal dominant 3	AD	612580		!	
CDK5RAP2	Microcephaly 3, primary, autosomal recessive	AR	604804			
CDKL5	Epileptic encephalopathy, early infantile, 2	XD	300672			
CDKN1C	IMAGE syndrome	AD	614732			
CDKN1C	Beckwith-Wiedemann syndrome	AD	130650			
CDON	Holoprosencephaly 11	AD	614226		!	
CENPJ	Microcephaly 6, primary, autosomal recessive	AR	608393			
CENPJ	?Seckel syndrome 4	AR	613676			
CEP135	?Microcephaly 8, primary, autosomal recessive	AR	614673			
CEP152	Seckel syndrome 5	AR	613823		!	
CEP152	Microcephaly 9, primary, autosomal recessive	AR	614852			
CEP290	Meckel syndrome 4	AR	611134			
CEP290	Joubert syndrome 5	AR	610188			
CEP290	?Bardet-Biedl syndrome 14	AR	615991			
CEP41	Joubert syndrome 15	AR	614464			
CEP57	Mosaic variegated aneuploidy syndrome 2	AR	614114			
CEP63	?Seckel syndrome 6	AR	614728			
CHD2	Epileptic encephalopathy, childhood-onset	AD	615369			
CHD7	CHARGE syndrome	AD	214800			
CHST14	Ehlers-Danlos syndrome, musculocontractural type 1	AR	601776			
CLN3	Ceroid lipofuscinosis, neuronal, 3	AR	204200			
CLN5	Ceroid lipofuscinosis, neuronal, 5	AR	256731			
CLN6	Ceroid lipofuscinosis, neuronal, Kufs type, adult onset	AR	204300			
CLN6	Ceroid lipofuscinosis, neuronal, 6	AR	601780			
CLN8	Ceroid lipofuscinosis, neuronal, 8	AR	600143			
CLN8	Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant	AR	610003			
CNKSR2	CNKSR2-associated mental retardation	XR			!	
CNTNAP2	Cortical dysplasia-focal epilepsy syndrome		610042			
CNTNAP2	Pitt-Hopkins like syndrome 1		610042			
COA5	?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	AR	616500			
COG1	Congenital disorder of glycosylation, type IIg	AR	611209		!	
COG4	Congenital disorder of glycosylation, type IIj	AR	613489			
COG5	Congenital disorder of glycosylation, type IIi		613612			
COG7	Congenital disorder of glycosylation, type IIe		608779			
COG8	Congenital disorder of glycosylation, type IIh		611182			
COL18A1	Knobloch syndrome, type 1	AR	267750			
COL4A1	Porencephaly 1	AD	175780			
COL4A1	Brain small vessel disease with or without ocular anomalies	AD	607595			
COL4A2	Porencephaly 2	AD	614483			
COLEC11	3MC syndrome 2	AR	265050			
COQ2	Coenzyme Q10 deficiency, primary, 1	AR	607426			
COQ9	Coenzyme Q10 deficiency, primary, 5	AR	614654			
COX10	Mitochondrial complex IV deficiency	AR	220110		!	
COX10	Leigh syndrome due to mitochondrial COX4 deficiency	AR	256000		!	
COX15	Leigh syndrome due to cytochrome c oxidase deficiency	AR	256000		!	
COX15	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	AR	615119			
CPS1	Carbamoylphosphate synthetase I deficiency	AR	237300			
CRADD	Mental retardation, autosomal recessive 34	AR	614499			
CRBN	Mental retardation, autosomal recessive 2	AR	607417			
CREBBP	Rubinstein-Taybi syndrome	AD	180849			
CSTB	Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	AR	254800			
CTC1	Cerebroretinal microangiopathy with calcifications and cysts	AR	612199			
CTDP1	Congenital cataracts, facial dysmorphism, and neuropathy	AR	604168			
CTNNB1	Mental retardation, autosomal dominant 19	AD	615075			
CTSA	Galactosialidosis	AR	256540			
CTSD	Ceroid lipofuscinosis, neuronal, 10	AR	610127			
CUL4B	Mental retardation, X-linked, syndromic 15 (Cabezas type)	XR	300354			
CYB5R3	Methemoglobinemia, type II	AR	250800			
CYB5R3	Methemoglobinemia, type I	AR	250800			
DAG1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9	AR	616538			
DARS2	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation	AR	611105			
DBT	Maple syrup urine disease, type II	AR	248600			
DCAF17	Woodhouse-Sakati syndrome	AR	241080			
DCX	Subcortical laminal heteropia, X-linked	X	300067			
DCX	Lissencephaly, X-linked	X	300067			
DDC	Aromatic L-amino acid decarboxylase deficiency	AR	608643			
DDOST	?Congenital disorder of glycosylation, type Ir	AR	614507			
DDX11	Warsaw breakage syndrome	AR	613398			
DEAF1	Mental retardation, autosomal dominant 24	AD	615828			
DHCR24	Desmosterolosis	AR	602398			
DHCR7	Smith-Lemli-Opitz syndrome	AR	270400			
DHFR	Megaloblastic anemia due to dihydrofolate reductase deficiency	AR	613839			
DIP2B	Mental retardation, FRA12A type		136630			
DIS3L2	Perlman syndrome	AR	267000			
DKC1	Dyskeratosis congenita, X-linked	XR	305000			
DLAT	Pyruvate dehydrogenase E2 deficiency	AR	245348			
DLD	Dihydrolipoamide dehydrogenase deficiency	AR	246900			
DLG3	Mental retardation, X-linked 90	XR	300850			
DMD	Duchenne muscular dystrophy	XR	310200			
DMPK	Myotonic dystrophy 1	AD	160900			
DNM1	Epileptic encephalopathy, early infantile, 31	AD	616346			
DNMT3A	Tatton-Brown-Rahman syndrome	AD	615879			
DNMT3B	Immunodeficiency-centromeric instability-facial anomalies syndrome 1	AR	242860			
DOCK6	Adams-Oliver syndrome 2	AR	614219			
DOLK	Congenital disorder of glycosylation type 1m	AR	610768		!	
DPAGT1	Myasthenic syndrome, congenital, 13, with tubular aggregates	AR	614750			
DPAGT1	Congenital disorder of glycosylation, type Ij	AR	608093			
DPM1	Congenital disorder of glycosylation, type Ie	AR	608799			
DYM	Smith-McCort dysplasia	AR	607326			
DYM	Dyggve-Melchior-Clausen disease	AR	223800			
DYNC1H1	Mental retardation, autosomal dominant 13	AD	614563			
DYRK1A	Mental retardation, autosomal dominant 7		614104			
EBP	MEND syndrome	XR	300960			
EBP	Chondrodysplasia punctata, X-linked dominant	XD	302960			
EFTUD2	Mandibulofacial dysostosis, Guion-Almeida type	AD	610536			
EHMT1	Kleefstra syndrome	AD	610253		!	
EIF2AK3	Wolcott-Rallison syndrome	AR	226980			
ELAC2	Combined oxidative phosphorylation deficiency 17	AR	615440			
ELOVL4	Ichthyosis, spastic quadriplegia, and mental retardation	AR	614457			
ELP2	Intellectual disability, spastic diplegia	AR	25847581		!	
EMX2	Schizencephaly	AD	269160		!	
EP300	Rubinstein-Taybi syndrome 2	AD;IC	613684			
ERCC1	Cerebrooculofacioskeletal syndrome 4	AR	610758			
ERCC2	Xeroderma pigmentosum, group D	AR	278730			
ERCC2	Trichothiodystrophy 1, photosensitive	AR	601675			
ERCC2	Cerebrooculofacioskeletal syndrome 2	AR	610756		!	
ERCC3	Xeroderma pigmentosum, group B	AR	610651			
ERCC4	Fanconi anemia, complementation group Q	AR	615272			
ERCC4	?XFE progeroid syndrome	AR	610965		!	
ERCC4	Xeroderma pigmentosum, type F/Cockayne syndrome	AR	278760			
ERCC5	Xeroderma pigmentosum, group G/Cockayne syndrome	AR	278780			
ERCC5	Cerebrooculofacioskeletal syndrome 3	AR	616570			
ERCC6	Cockayne syndrome, type B	AR	133540			
ERCC6	Cerebrooculofacioskeletal syndrome 1	AR	214150			
ERCC6	De Sanctis-Cacchione syndrome	AR	278800			
ERCC8	Cockayne syndrome, type A	AR	216400			
ERLIN2	Spastic paraplegia 18, autosomal recessive	AR	611225			
ESCO2	SC phocomelia syndrome	AR	269000			
ESCO2	Roberts syndrome	AR	268300			
ETFA	Glutaric acidemia IIA	AR	231680			
ETFB	Glutaric acidemia IIB	AR	231680			
ETFDH	Glutaric acidemia IIC	AR	231680			
ETHE1	Ethylmalonic encephalopathy	AR	602473			
EVC	Ellis-van Creveld syndrome	AR	225500			
EVC2	Ellis-van Creveld syndrome	AR	225500			
EXOSC3	Pontocerebellar hypoplasia, type 1B	AR	614678			
EZH2	Weaver syndrome	AD	277590			
FAM126A	Leukodystrophy, hypomyelinating, 5	AR	610532			
FAM134B	Neuropathy, hereditary sensory and autonomic, type IIB	AR	613115			
FAM20C	Raine syndrome	AR	259775			
FANCA	Fanconi anemia, complementation group A	AR	227650			
FANCB	Fanconi anemia, complementation group B	XR	300514			
FANCC	Fanconi anemia, complementation group C	AR	227645			
FANCD2	Fanconi anemia, complementation group D2	AR	227646			
FANCE	Fanconi anemia, complementation group E	AR	600901			
FANCF	Fanconi anemia, complementation group F	AR	603467		!	
FANCG	Fanconi anemia, complementation group G	AR	614082		!	
FANCI	Fanconi anemia, complementation group I	AR	609053			
FANCL	Fanconi anemia, complementation group L	AR	614083			
FBN1	Weill-Marchesani syndrome 2, dominant	AD	608328			
FBP1	Fructose-1,6-bisphosphatase deficiency	AR	229700			
FGD1	Mental retardation, X-linked syndromic 16	XR	305400			
FGD1	Aarskog-Scott syndrome	XR	305400			
FGFR1	Hartsfield syndrome	AD	615465			
FGFR1	Pfeiffer syndrome	AD	101600			
FGFR2	Beare-Stevenson cutis gyrata syndrome	AD	123790			
FGFR2	Apert syndrome	AD	101200			
FGFR2	Crouzon syndrome	AD	123500			
FGFR2	Saethre-Chotzen syndrome	AD	101400			
FGFR2	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	AR	207410			
FGFR3	Achondroplasia	AD	100800			
FGFR3	SADDAN	AD	616482			
FGFR3	Muenke syndrome	AD	602849			
FH	Fumarase deficiency	AR	606812			
FIG4	Yunis-Varon syndrome	AR	216340			
FIG4	Charcot-Marie-Tooth disease, type 4J	AR	611228			
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5	AR	613153			
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5	AR	606612			
FKTN	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4	AR	611588			
FKTN	Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4	AR	613152			
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	253800			
FLNA	FG syndrome 2	XR	300321		!	
FLNA	Melnick-Needles syndrome	XD	309350			
FLNA	Congenital short bowel syndrome	XR	300048			
FLNA	Intestinal pseudoobstruction, neuronal	XR	300048			
FLNA	Heterotopia, periventricular	XD	300049			
FLNA	Otopalatodigital syndrome, type II	XD	304120			
FLNA	Frontometaphyseal dysplasia	XR	305620			
FLNA	Otopalatodigital syndrome, type I	XD	311300			
FLVCR2	Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome	AR	225790			
FMR1	Fragile X syndrome	XD	300624			
FOLR1	Neurodegeneration due to cerebral folate transport deficiency	AR	613068			
FOXG1	Rett syndrome, congenital variant	IC	613454			
FOXP1	Mental retardation with language impairment and with or without autistic features	AD	613670			
FOXRED1	Mitochondrial complex I deficiency	AR	252010		!	
FOXRED1	Leigh syndrome due to mitochondrial complex I deficiency	AR	256000		!	
FRAS1	Fraser syndrome	AR	219000			
FREM2	Fraser syndrome	AR	219000			
FTCD	Glutamate formiminotransferase deficiency	AR	229100			
FTL	L-ferritin deficiency, dominant and recessive	AR	615604		!	
FTL	Neurodegeneration with brain iron accumulation 3	AD	606159			
FTO	Growth retardation, developmental delay, facial dysmorphism	AR	612938			
FTSJ1	Mental retardation, X-linked 9	XD	309549		!	
FUCA1	Fucosidosis	AR	230000			
GAA	Glycogen storage disease II	AR	232300			
GABRA1	Epileptic encephalopathy, early infantile, 19	AD	615744			
GABRB3		AD	612269	25356899	!	
GAD1	?Cerebral palsy, spastic quadriplegic, 1	AR	603513			
GALC	Krabbe disease	AR	245200			
GALE	Galactose epimerase deficiency	AR	230350			
GALT	Galactosemia	AR	230400			
GAMT	Cerebral creatine deficiency syndrome 2	AR	612736			
GATM	Cerebral creatine deficiency syndrome 3	AR	612718			
GBA	Gaucher disease, type III	AR	231000			
GBA	Gaucher disease, type II	AR	230900			
GBA	Gaucher disease, type I	AR	230800			
GBA	Gaucher disease, perinatal lethal	AR	608013			
GBA	Gaucher disease, type IIIC	AR	231005			
GCDH	Glutaricaciduria, type I	AR	231670			
GCH1	Hyperphenylalaninemia, BH4-deficient, B	AR	233910			
GCSH	Glycine encephalopathy	AR	605899			
GDI1	Mental retardation, X-linked 41		300849			
GFAP	Alexander disease	AD	203450			
GFER	Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay		613076			
GFM1	Combined oxidative phosphorylation deficiency 1	AR	609060			
GJA1	Oculodentodigital dysplasia, autosomal recessive	AR	257850			
GJA1	Oculodentodigital dysplasia	AD	164200			
GJC2	Spastic paraplegia 44, autosomal recessive	AR	613206			
GJC2	Leukodystrophy, hypomyelinating, 2	AR	608804			
GK	Glycerol kinase deficiency	XR	307030			
GLB1	GM1-gangliosidosis, type II	AR	230600			
GLB1	GM1-gangliosidosis, type I	AR	230500			
GLB1	GM1-gangliosidosis, type III	AR	230650			
GLDC	Glycine encephalopathy	AR	605899			
GLI2	Holoprosencephaly-9	AD	610829			
GLI2	Culler-Jones syndrome	AD	615849			
GLI3	Pallister-Hall syndrome	AD	146510			
GLI3	Greig cephalopolysyndactyly syndrome	AD	175700			
GLUD1	Hyperinsulinism-hyperammonemia syndrome	AD	606762			
GLUL	Glutamine deficiency, congenital	AR	610015			
GM2A	GM2-gangliosidosis, AB variant	AR	272750			
GNAS	Pseudopseudohypoparathyroidism	AD	612463			
GNAS	Pseudohypoparathyroidism Ic	AD	612462			
GNPAT	Rhizomelic chondrodysplasia punctata, type 2	AR	222765			
GNPTAB	Mucolipidosis III alpha/beta	AR	252600			
GNPTAB	Mucolipidosis II alpha/beta	AR	252500			
GNPTG	Mucolipidosis III gamma	AR	252605		!	
GNS	Mucopolysaccharidosis type IIID	AR	252940			
GPC3	Simpson-Golabi-Behmel syndrome, type 1	XR	312870			
GPR56	Polymicrogyria, bilateral perisylvian	AR	615752		!	
GPR56	Polymicrogyria, bilateral frontoparietal	AR	606854			
GPSM2	Chudley-McCullough syndrome	AR	604213			
GRIA3	Mental retardation, X-linked 94	XR	300699			
GRIK2	Mental retardation, autosomal recessive, 6	AR	611092			
GRIN1	Mental retardation, autosomal dominant 8		614254			
GRIN2A	Epilepsy, focal, with speech disorder and with or without mental retardation	AD	245570			
GRIN2B	Mental retardation, autosomal dominant 6	AD	613970		!	
GRIN2B	Epileptic encephalopathy, early infantile, 27	AD	616139			
GRM1	Spinocerebellar ataxia, autosomal recessive 13	AR	614831			
GTF2H5	Trichothiodystrophy 3, photosensitive	AR	616395		!	
GUSB	Mucopolysaccharidosis VII	AR	253220			
HADH	3-hydroxyacyl-CoA dehydrogenase deficienc	AR	231530		!	
HCCS	Linear skin defects with multiple congenital anomalies 1	XD	309801			
HCN1	Epileptic encephalopathy, early infantile, 24	AD	615871			
HDAC4	 chromosome 2q37 deletion syndrome	AD	600430		!	
HDAC8	Cornelia de Lange syndrome 5	XD	300882			
HDAC8	Wilson-Turner syndrome	XD	309585			
HESX1	Growth hormone deficiency with pituitary anomalies	AR;AD	182230			
HESX1	Septooptic dysplasia	AR;AD	182230			
HESX1	Pituitary hormone deficiency, combined, 5	AR;AD	182230			
HEXA	Tay-Sachs disease	AR	272800			
HEXA	GM2-gangliosidosis, several forms	AR	272800			
HEXB	Sandhoff disease, infantile, juvenile, and adult forms	AR	268800			
HGSNAT	Mucopolysaccharidosis type IIIC (Sanfilippo C)	AR	252930			
HIBCH	3-hydroxyisobutryl-CoA hydrolase deficiency	AR	250620			
HLCS	Holocarboxylase synthetase deficiency	AR	253270			
HMGCL	HMG-CoA lyase deficiency	AR	246450			
HMGCS2	HMG-CoA synthase-2 deficiency		605911			
HOXA1	Athabaskan brainstem dysgenesis syndrome	AR	601536		!	
HOXA1	Bosley-Salih-Alorainy syndrome	AR	601536		!	
HPD	Tyrosinemia, type III	AR	276710			
HPRT1	Lesch-Nyhan syndrome	XR	300322			
HRAS	Costello syndrome	AD	218040		!	
HSD17B10	?Mental retardation, X-linked syndromic 10	XR	300220			
HSD17B10	17-beta-hydroxysteroid dehydrogenase X deficiency	XD	300438			
HSD17B4	Perrault syndrome 1	AR	233400			
HSD17B4	D-bifunctional protein deficiency	AR	261515			
HSPD1	Leukodystrophy, hypomyelinating, 4	AR	612233			
HSPG2	Schwartz-Jampel syndrome, type 1	AR	255800			
HUWE1	Mental retardation, X-linked syndromic, Turner type		300706			
HYLS1	Hydrolethalus syndrome	AR	236680			
IDS	Mucopolysaccharidosis II	XR	309900			
IDUA	Mucopolysaccharidosis Ih	AR	607014			
IFIH1	Aicardi-Goutieres syndrome 7	AD	615846			
IFT140	Short-rib thoracic dysplasia 9 with or without polydactyly	AR	266920			
IGBP1	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia	XR	300472			
IGF1	Growth retardation with deafness and mental retardation due to IGF1 deficiency	AR	608747			
IGF1R	Insulin-like growth factor I, resistance to	AD	270450		!	
IL1RAPL1	Mental retardation, X-linked 21/34	XR	300143			
INPP5E	Mental retardation, truncal obesity, retinal dystrophy, and micropenis	AR	610156			
INPP5E	Joubert syndrome 1	AR	213300			
IQSEC2	Mental retardation, X-linked 1	X	309530			
IRX5	Hamamy syndrome	AR	611174			
ISPD	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7	AR	614643			
ITCH	Autoimmune disease, multisystem, with facial dysmorphism	AR	613385			
