# Genepanel: TrioPU Version: 01 Date: 2016-01-21							
gene symbol		inheritance info	phenotype	inheritance	omim_number	PMID	
AKT1			Cowden syndrome 6		615109		
AKT1	X	!	Colorectal cancer, somatic		114500		
AKT3			Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937		
ALDH18A1		!	Cutis laxa, autosomal recessive, type IIIA	AR	219150		
ALDH18A1			Cutis laxa, autosomal dominant 3	AD	616603		
ALDH18A1			Spastic paraplegia 9B, autosomal recessive	AR	616586		
ALDH18A1			Spastic paraplegia 9A, autosomal dominant	AD	601162		
ALDH3A2			Sjogren-Larsson syndrome	AR	270200		
ALDH4A1			Hyperprolinemia, type II	AR	239510		
ALDH5A1			Succinic semialdehyde dehydrogenase deficiency	AR	271980		
ALDH7A1			Epilepsy, pyridoxine-dependent	AR	266100		
ALDOA			Glycogen storage disease XII	AR	611881		
ALDOB			Fructose intolerance	AR	229600		
ALG1			Congenital disorder of glycosylation, type Ik	AR	608540		
ALG11			Congenital disorder of glycosylation, type Ip	AR	613661		
ALG12			Congenital disorder of glycosylation, type Ig		607143		
ALG13			Congenital disorder of glycosylation, type Is	XR	300884		
ALG2			Myasthenic syndrome, congenital, 14, with tubular aggregates	AR	616228		
ALG2			?Congenital disorder of glycosylation, type Ii	AR	607906		
ALG3			Congenital disorder of glycosylation, type Id	AR	601110		
ALG6			Congenital disorder of glycosylation, type Ic	AR	603147		
ALG8			Congenital disorder of glycosylation, type Ih		608104		
ALG9			Congenital disorder of glycosylation, type Il		608776		
ALMS1			Alstrom syndrome	AR	203800		
ALPL	X	!	Odontohypophosphatasia	AR;AD	146300		
ALPL			Hypophosphatasia, infantile	AR	241500		
ALPL			Hypophosphatasia, childhood	AR	241510		
ALPL	X	!	Hypophosphatasia, adult	AR;AD	146300		
ALX1		!	?Frontonasal dysplasia 3	AR	613456		
ALX3			Frontonasal dysplasia 1	AR	136760		
ALX4			Parietal foramina 2	AD	609597		
ALX4			Frontonasal dysplasia 2	AR	613451		
ALX4	X	!	{Craniosynostosis 5, susceptibility to}	AD	615529		
AMER1			Osteopathia striata with cranial sclerosis	XD	300373		
AMT			Glycine encephalopathy	AR	605899		
ANKRD11			KBG syndrome	AD	148050		
AP1S2			Mental retardation, X-linked syndromic 5	XR	304340		
AP4B1			Spastic paraplegia 47, autosomal recessive	AR	614066		
AP4E1			Spastic paraplegia 51, autosomal recessive	AR	613744		
AP4M1			Spastic paraplegia 50, autosomal recessive	AR	612936		
AP4S1			Spastic paraplegia 52, autosomal recessive	AR	614067		
APTX			Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	208920		
AR	X	!	Androgen insensitivity	XR	300068		
AR	X	!	{Prostate cancer, susceptibility to}	AD	176807		
AR	X	!	Spinal and bulbar muscular atrophy of Kennedy	XR	313200		
AR	X	!	Hypospadias 1, X-linked	XR	300633		
AR	X	!	Androgen insensitivity, partial, with or without breast cancer	XR	312300		
ARFGEF2			Periventricular heterotopia with microcephaly	AR	608097		
ARG1			Argininemia	AR	207800		
ARHGAP31			Adams-Oliver syndrome 1	AD	100300		
ARHGEF6			Mental retardation, X-linked 46	XR	300436		
ARHGEF9			Epileptic encephalopathy, early infantile, 8	XR	300607		
ARID1A			Mental retardation, autosomal dominant 14		614607		
ARID1B			Mental retardation, autosomal dominant 12		614562		
ARL6			Bardet-Biedl syndrome 3	AR	600151		
ARL6	X	!	?Retinitis pigmentosa 55		613575		
ARL6	X	!	{Bardet-Biedl syndrome 1, modifier of}	AR;DR	209900		
ARSA			Metachromatic leukodystrophy	AR	250100		
ARSE			Chondrodysplasia punctata, X-linked recessive	XR	302950		
ARX		!	Hydranencephaly with abnormal genitalia	XR	300215		
ARX			Epileptic encephalopathy, early infantile, 1	XR	308350		
ARX			Proud syndrome	X	300004		
ARX			Partington syndrome	XR	309510		
ARX		!	Mental retardation, X-linked 29 and others	XR	300419		
ARX			Lissencephaly, X-linked 2	XR	300215		
ASAH1			Spinal muscular atrophy with progressive myoclonic epilepsy	AR	159950		
ASAH1			Farber lipogranulomatosis	AR	228000		
ASCC3	X	!					
ASCL1	X	!	Haddad syndrome	AD	209880		
ASCL1	X	!	Central hypoventilation syndrome, congenital	AD	209880		
ASL			Argininosuccinic aciduria	AR	207900		
ASPA			Canavan disease	AR	271900		
ASPM			Microcephaly 5, primary, autosomal recessive	AR	608716		
ASS1			Citrullinemia	AR	215700		
ASXL1	X	!	Myelodysplastic syndrome, somatic		614286		
ASXL1			Bohring-Opitz syndrome	AD	605039		
ATIC			AICA-ribosiduria due to ATIC deficiency	AR	608688		
ATM	X	!	Lymphoma, B-cell non-Hodgkin, somatic				
ATM		!	Ataxia-telangiectasia	AR	208900		
ATM	X	!	{Breast cancer, susceptibility to}	AD	114480		
ATM	X	!	T-cell prolymphocytic leukemia, somatic				
ATM	X	!	Lymphoma, mantle cell				
ATP13A2			?Ceroid lipofuscinosis, neuronal, 12	AR	606693		
ATP13A2			Kufor-Rakeb syndrome	AR	606693		
ATP1A3	X	!	Dystonia-12	AD	128235		
ATP1A3			CAPOS syndrome	AD	601338		
ATP1A3			Alternating hemiplegia of childhood 2	AD	614820		
ATP6AP2	X	!	?Parkinsonism with spasticity, X-linked	AR	300911		
ATP6AP2			?Mental retardation, X-linked, syndromic, Hedera type	XR	300423		
ATP7A			Occipital horn syndrome	XR	304150		
ATP7A			Menkes disease	XR	309400		
ATP7A	X	!	Spinal muscular atrophy, distal, X-linked 3	XR	300489		
ATR	X		{Hemangioma, capillary infantile, susceptibility to}	AD	602089		
ATR	X	!	GAPO syndrome	AR	230740		
ATR			Seckel syndrome 1	AR	210600		
ATR	X	!	?Cutaneous telangiectasia and cancer syndrome, familial	AD	614564		
ATRX	X	!	Alpha-thalassemia myelodysplasia syndrome, somatic		300448		
ATRX			Mental retardation-hypotonic facies syndrome, X-linked	XR	309580		
ATRX			Alpha-thalassemia/mental retardation syndrome	XD	301040		
AUH			3-methylglutaconic aciduria, type I	AR	250950		
AUTS2			Mental retardation, autosomal dominant 26	AD	615834		
B4GALT7			Ehlers-Danlos syndrome, progeroid type, 1	AR	130070		
BBS1			Bardet-Biedl syndrome 1	AR;DR	209900		
BBS10			Bardet-Biedl syndrome 10	AR	615987		
BBS12			Bardet-Biedl syndrome 12	AR	615989		
BBS2	X	!	Retinitis pigmentosa 74	AR	616562		
BBS2			Bardet-Biedl syndrome 2	AR	615981		
BBS4			Bardet-Biedl syndrome 4	AR	615982		
BBS5			Bardet-Biedl syndrome 5	AR	615983		
BBS7			Bardet-Biedl syndrome 7	AR	615984		
BBS9			Bardet-Biedl syndrome 9	AR	615986		
BCAP31			Deafness, dystonia, and cerebral hypomyelination	XR	300475		
BCKDHA			Maple syrup urine disease, type Ia	AR	248600		
BCKDHB			Maple syrup urine disease, type Ib	AR	248600		
BCOR			Microphthalmia, syndromic 2	XD	300166		
BCS1L			Bjornstad syndrome	AR	262000		
BCS1L			Mitochondrial complex III deficiency, nuclear type 1	AR	124000		
BCS1L		!	Leigh syndrome	AR	256000		
BCS1L	X	!	GRACILE syndrome	AR	603358		
BIN1			Myopathy, centronuclear, autosomal recessive	AR	255200		
BLM			Bloom syndrome	AR	210900		
BMP4			Orofacial cleft 11		600625		
BMP4			Microphthalmia, syndromic 6	AD	607932		
BMPER			Diaphanospondylodysostosis	AR	608022		
BOLA3			Multiple mitochondrial dysfunctions syndrome 2	AR	614299		
BRAF	X		Colorectal cancer, somatic				
BRAF		!	Cardiofaciocutaneous syndrome	AD	115150		
BRAF		!	Noonan syndrome 7	AD	613706		
BRAF	X		Adenocarcinoma of lung, somatic		211980		
BRAF	X	!	Nonsmall cell lung cancer, somatic				
BRAF	X	!	Melanoma, malignant, somatic				
BRAF			LEOPARD syndrome 3	AD	613707		
BRAT1			Rigidity and multifocal seizure syndrome, lethal neonatal	AR	614498		
BRCA2	X	!	{Breast cancer, male, susceptibility to}	AD	114480		
BRCA2	X	!	{Prostate cancer}	AD	176807		
BRCA2	X	!	Wilms tumor	AD;	194070		
BRCA2	X	!	{Pancreatic cancer 2}		613347		
BRCA2			Fanconi anemia, complementation group D1	AR	605724		Inkluderes etter vedtak i ledergruppen
BRCA2	X	!	{Medulloblastoma}	AD	155255		
BRCA2	X	!	{Glioblastoma 3}	AR	613029		
BRCA2	X	!	{Breast-ovarian cancer, familial, 2}	AD	612555		
BRIP1	X	!	Breast cancer, early-onset	AD	114480		
BRIP1			Fanconi anemia, complementation group J	AR	609054		
BRWD3			Mental retardation, X-linked 93	XR	300659		
BSND	X	!	Sensorineural deafness with mild renal dysfunction	AR	602522		
BSND			Bartter syndrome, type 4a	AR	602522		
BTD			Biotinidase deficiency	AR	253260		
BUB1B	X	!	[Premature chromatid separation trait]	AD	176430		
BUB1B			Mosaic variegated aneuploidy syndrome 1	AR	257300		
BUB1B	X	!	Colorectal cancer, somatic		114500		
C12ORF57			Temtamy syndrome	AR	218340		
C12ORF65			Spastic paraplegia 55, autosomal recessive	AR	615035		
C12ORF65			Combined oxidative phosphorylation deficiency 7	AR	613559		
C5ORF42			Orofaciodigital syndrome VI	AR	277170		
C5ORF42			Joubert syndrome 17	AR	614615		
CA2			Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	AR	259730		
CA8			Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3	AR	613227		
CACNA1C			Timothy syndrome	AD	601005		
CACNA1C	X	!	Brugada syndrome 3		611875		
CACNA1D	X	!	Sinoatrial node dysfunction and deafness	AR	614896		
CACNA1D			Primary aldosteronism, seizures, and neurologic abnormalities	AD	615474		
CAMTA1			Cerebellar ataxia, nonprogressive, with mental retardation	AD	614756		
CAPN10		!	{Diabetes mellitus, noninsulin-dependent 1}, intellectual disability	AR	601283	25773692	
CASK			Mental retardation and microcephaly with pontine and cerebellar hypoplasia	XD	300749		
CASK			FG syndrome 4		300422		
CASK			Mental retardation, with or without nystagmus		300422		
CASP2		!					
CAV1			?Lipodystrophy, congenital generalized, type 3	AR	612526		
CAV1	X	!	Pulmonary hypertension, primary, 3	AD	615343		
CAV1			?Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome	AD	606721		
CBL			Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia	AD	613563		
CBS	X	!	Thrombosis, hyperhomocysteinemic	AR	236200		
CBS			Homocystinuria, B6-responsive and nonresponsive types	AR	236200		
CC2D1A			Mental retardation, autosomal recessive 3	AR	608443		
CC2D2A			COACH syndrome	AR	216360		
CC2D2A			Meckel syndrome 6	AR	612284		
CC2D2A			Joubert syndrome 9	AR	612285		
CCBE1			Hennekam lymphangiectasia-lymphedema syndrome 1	AR	235510		
CCDC22			Ritscher-Schinzel syndrome 2	XR	300963		
CD96			C syndrome	AR	211750		
CDC6			Meier-Gorlin syndrome 5	AR	613805		
CDH15		!	Mental retardation, autosomal dominant 3	AD	612580		
CDK5RAP2			Microcephaly 3, primary, autosomal recessive	AR	604804		
CDKL5			Epileptic encephalopathy, early infantile, 2	XD	300672		
CDKN1C			IMAGE syndrome	AD	614732		
CDKN1C			Beckwith-Wiedemann syndrome	AD	130650		
CDON		!	Holoprosencephaly 11	AD	614226		
CENPJ			Microcephaly 6, primary, autosomal recessive	AR	608393		
CENPJ			?Seckel syndrome 4	AR	613676		
CEP135			?Microcephaly 8, primary, autosomal recessive	AR	614673		
CEP152		!	Seckel syndrome 5	AR	613823		
CEP152			Microcephaly 9, primary, autosomal recessive	AR	614852		
CEP290	X	!	Senior-Loken syndrome 6	AR	610189		
CEP290			Meckel syndrome 4	AR	611134		
CEP290	X	!	Leber congenital amaurosis 10		611755		
CEP290			Joubert syndrome 5	AR	610188		
CEP290			?Bardet-Biedl syndrome 14	AR	615991		
CEP41			Joubert syndrome 15	AR	614464		
CEP57			Mosaic variegated aneuploidy syndrome 2	AR	614114		
CEP63			?Seckel syndrome 6	AR	614728		
CHD2			Epileptic encephalopathy, childhood-onset	AD	615369		
CHD7	X	!	Hypogonadotropic hypogonadism 5 with or without anosmia		612370		
CHD7			CHARGE syndrome	AD	214800		
CHRNA1	X	!	Myasthenic syndrome, congenital, 1A, slow-channel	AD	601462		Gir ikke PU, men muskelsvakhet, genet tas ut av trio.listen
CHRNA1	X	!	Multiple pterygium syndrome, lethal type	AR	253290		
CHRNA1	X	!	Myasthenic syndrome, congenital, 1B, fast-channel	AR;AD	608930		
CHST14			Ehlers-Danlos syndrome, musculocontractural type 1	AR	601776		
CLN3			Ceroid lipofuscinosis, neuronal, 3	AR	204200		
CLN5			Ceroid lipofuscinosis, neuronal, 5	AR	256731		
CLN6			Ceroid lipofuscinosis, neuronal, Kufs type, adult onset	AR	204300		
CLN6			Ceroid lipofuscinosis, neuronal, 6	AR	601780		
CLN8			Ceroid lipofuscinosis, neuronal, 8	AR	600143		
CLN8			Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant	AR	610003		
CNKSR1	X	!					
CNKSR2		!	CNKSR2-associated mental retardation	XR			
CNTNAP2			Cortical dysplasia-focal epilepsy syndrome		610042		
CNTNAP2	X	!	{Autism susceptibility 15}		612100		
CNTNAP2			Pitt-Hopkins like syndrome 1		610042		
COA5			?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	AR	616500		
COG1		!	Congenital disorder of glycosylation, type IIg	AR	611209		
COG4			Congenital disorder of glycosylation, type IIj	AR	613489		
COG5			Congenital disorder of glycosylation, type IIi		613612		
COG7			Congenital disorder of glycosylation, type IIe		608779		
COG8			Congenital disorder of glycosylation, type IIh		611182		
COL18A1			Knobloch syndrome, type 1	AR	267750		
COL4A1	X	!	Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps	AD	611773		
COL4A1	X	!	?Retinal arteries, tortuosity of	AD	180000		
COL4A1	X	!	{Hemorrhage, intracerebral, susceptibility to}		614519		
COL4A1			Porencephaly 1	AD	175780		
COL4A1			Brain small vessel disease with or without ocular anomalies	AD	607595		
COL4A2	X	!	{Hemorrhage, intracerebral, susceptibility to}		614519		
COL4A2			Porencephaly 2	AD	614483		
COLEC11			3MC syndrome 2	AR	265050		
COQ2	X	!	{Multiple system atrophy, susceptibility to}	AR;AD	146500		
COQ2			Coenzyme Q10 deficiency, primary, 1	AR	607426		
COQ9			Coenzyme Q10 deficiency, primary, 5	AR	614654		
COX10		!	Mitochondrial complex IV deficiency	AR	220110		
COX10		!	Leigh syndrome due to mitochondrial COX4 deficiency	AR	256000		
COX15		!	Leigh syndrome due to cytochrome c oxidase deficiency	AR	256000		
COX15			Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	AR	615119		
CPS1			Carbamoylphosphate synthetase I deficiency	AR	237300		
CPS1	X	!	{Venoocclusive disease after bone marrow transplantation}				
CPS1	X	!	{Pulmonary hypertension, neonatal, susceptibility to}		615371		
CRADD			Mental retardation, autosomal recessive 34	AR	614499		
CRBN			Mental retardation, autosomal recessive 2	AR	607417		
CREBBP			Rubinstein-Taybi syndrome	AD	180849		
CRYAB	X	!	Myopathy, myofibrillar, 2	AD	608810		
CRYAB	X	!	Cataract 16, multiple types	AR;AD	613763		
CRYAB	X	!	Cardiomyopathy, dilated, 1II	AD	615184		
CRYAB	X	!	Myopathy, myofibrillar, fatal infantile hypertrophy, alpha-B crystallin-related	AR	613869		
CSTB			Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	AR	254800		
CTC1			Cerebroretinal microangiopathy with calcifications and cysts	AR	612199		
CTDP1			Congenital cataracts, facial dysmorphism, and neuropathy	AR	604168		
CTNNB1	X	!	Hepatocellular carcinoma, somatic		114550		
CTNNB1	X	!	Colorectal cancer, somatic		114500		
CTNNB1	X	!	Pilomatricoma, somatic		132600		
CTNNB1	X	!	Ovarian cancer, somatic		167000		
CTNNB1			Mental retardation, autosomal dominant 19	AD	615075		
CTSA			Galactosialidosis	AR	256540		
CTSD			Ceroid lipofuscinosis, neuronal, 10	AR	610127		
CUL4B			Mental retardation, X-linked, syndromic 15 (Cabezas type)	XR	300354		
CYB5R3			Methemoglobinemia, type II	AR	250800		
CYB5R3			Methemoglobinemia, type I	AR	250800		
DAG1	X	!	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9	AR	613818		
DAG1			Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9	AR	616538		
DARS2			Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation	AR	611105		
DBT			Maple syrup urine disease, type II	AR	248600		
DCAF17			Woodhouse-Sakati syndrome	AR	241080		
DCX			Subcortical laminal heteropia, X-linked	X	300067		
DCX			Lissencephaly, X-linked	X	300067		
DDC			Aromatic L-amino acid decarboxylase deficiency	AR	608643		
DDOST			?Congenital disorder of glycosylation, type Ir	AR	614507		
DDX11			Warsaw breakage syndrome	AR	613398		
DEAF1			Mental retardation, autosomal dominant 24	AD	615828		
DHCR24			Desmosterolosis	AR	602398		
DHCR7			Smith-Lemli-Opitz syndrome	AR	270400		
DHFR			Megaloblastic anemia due to dihydrofolate reductase deficiency	AR	613839		
DIP2B			Mental retardation, FRA12A type		136630		
DIS3L2			Perlman syndrome	AR	267000		
DKC1			Dyskeratosis congenita, X-linked	XR	305000		
DLAT			Pyruvate dehydrogenase E2 deficiency	AR	245348		
DLD			Dihydrolipoamide dehydrogenase deficiency	AR	246900		
DLG3			Mental retardation, X-linked 90	XR	300850		
DMD			Duchenne muscular dystrophy	XR	310200		
DMD	X	!	Cardiomyopathy, dilated, 3B	X	302045		
DMD	X	!	Becker muscular dystrophy	XR	300376		
DMPK			Myotonic dystrophy 1	AD	160900		
DNM1			Epileptic encephalopathy, early infantile, 31	AD	616346		
DNMT3A			Tatton-Brown-Rahman syndrome	AD	615879		
DNMT3B			Immunodeficiency-centromeric instability-facial anomalies syndrome 1	AR	242860		
DOCK6			Adams-Oliver syndrome 2	AR	614219		
DOCK8	X	!	Hyper-IgE recurrent infection syndrome, autosomal recessive	AR	243700		Genet er forbundet med PU, men bare store delesjoner som ikke metoden påviser (AD). Tas på aCGH.
DOLK		!	Congenital disorder of glycosylation type 1m	AR	610768		
DPAGT1			Myasthenic syndrome, congenital, 13, with tubular aggregates	AR	614750		
DPAGT1			Congenital disorder of glycosylation, type Ij	AR	608093		
DPM1			Congenital disorder of glycosylation, type Ie	AR	608799		
DYM			Smith-McCort dysplasia	AR	607326		
DYM			Dyggve-Melchior-Clausen disease	AR	223800		
DYNC1H1	X	!	Spinal muscular atrophy, lower extremity-predominant 1, AD	AD	158600		
DYNC1H1			Mental retardation, autosomal dominant 13	AD	614563		
DYNC1H1	X	!	Charcot-Marie-Tooth disease, axonal, type 20	AD	614228		
DYRK1A			Mental retardation, autosomal dominant 7		614104		
EBP			MEND syndrome	XR	300960		
EBP			Chondrodysplasia punctata, X-linked dominant	XD	302960		
EEF1B2	X	!					
EFTUD2			Mandibulofacial dysostosis, Guion-Almeida type	AD	610536		
EHMT1		!	Kleefstra syndrome	AD	610253		
EIF2AK3			Wolcott-Rallison syndrome	AR	226980		
ELAC2	X	!	{Prostate cancer, hereditary, 2, susceptibility to}		614731		
ELAC2			Combined oxidative phosphorylation deficiency 17	AR	615440		
ELOVL4	X	!	Stargardt disease 3	AD	600110		
ELOVL4			Ichthyosis, spastic quadriplegia, and mental retardation	AR	614457		
ELOVL4	X	!	?Spinocerebellar ataxia 34	AD	133190		
ELP2		!	Intellectual disability, spastic diplegia	AR	25847581		
EMX2		!	Schizencephaly	AD	269160		
EOMES	X	!					
EP300			Rubinstein-Taybi syndrome 2	AD;IC	613684		
EP300	X	!	Colorectal cancer, somatic		114500		
ERCC1			Cerebrooculofacioskeletal syndrome 4	AR	610758		
ERCC2			Xeroderma pigmentosum, group D	AR	278730		
ERCC2			Trichothiodystrophy 1, photosensitive	AR	601675		
ERCC2		!	Cerebrooculofacioskeletal syndrome 2	AR	610756		
ERCC3			Xeroderma pigmentosum, group B	AR	610651		
ERCC3	X	!	Trichothiodystrophy 2, photosensitive	AR	616390		
ERCC4	X	!	Xeroderma pigmentosum, group F	AR	278760		
ERCC4			Fanconi anemia, complementation group Q	AR	615272		
ERCC4		!	?XFE progeroid syndrome	AR	610965		
ERCC4			Xeroderma pigmentosum, type F/Cockayne syndrome	AR	278760		
ERCC5			Xeroderma pigmentosum, group G/Cockayne syndrome	AR	278780		
ERCC5	X	!	Xeroderma pigmentosum, group G	AR	278780		
ERCC5			Cerebrooculofacioskeletal syndrome 3	AR	616570		
ERCC6			Cockayne syndrome, type B	AR	133540		
ERCC6			Cerebrooculofacioskeletal syndrome 1	AR	214150		
ERCC6	X	!	{Macular degeneration, age-related, susceptibility to 5}		613761		
ERCC6	X	!	{Lung cancer, susceptibility to}	AR	211980		
ERCC6	X	!	UV-sensitive syndrome 1	AR	600630		
ERCC6			De Sanctis-Cacchione syndrome	AR	278800		
ERCC8	X	!	UV-sensitive syndrome 2	AR	614621		
ERCC8			Cockayne syndrome, type A	AR	216400		
ERLIN2			Spastic paraplegia 18, autosomal recessive	AR	611225		
ESCO2			SC phocomelia syndrome	AR	269000		
ESCO2			Roberts syndrome	AR	268300		
ETFA			Glutaric acidemia IIA	AR	231680		
ETFB			Glutaric acidemia IIB	AR	231680		
ETFDH			Glutaric acidemia IIC	AR	231680		
ETHE1			Ethylmalonic encephalopathy	AR	602473		
EVC			Ellis-van Creveld syndrome	AR	225500		
EVC	X	!	Weyers acrodental dysostosis	AD	193530		
EVC2	X	!	Weyers acrofacial dysostosis	AD	193530		
EVC2			Ellis-van Creveld syndrome	AR	225500		
EXOSC3			Pontocerebellar hypoplasia, type 1B	AR	614678		
EZH2			Weaver syndrome	AD	277590		
FAM126A			Leukodystrophy, hypomyelinating, 5	AR	610532		
FAM134B			Neuropathy, hereditary sensory and autonomic, type IIB	AR	613115		
FAM20C			Raine syndrome	AR	259775		
FANCA			Fanconi anemia, complementation group A	AR	227650		
FANCB			Fanconi anemia, complementation group B	XR	300514		
FANCC			Fanconi anemia, complementation group C	AR	227645		
FANCD2			Fanconi anemia, complementation group D2	AR	227646		
FANCE			Fanconi anemia, complementation group E	AR	600901		
FANCF		!	Fanconi anemia, complementation group F	AR	603467		
FANCG		!	Fanconi anemia, complementation group G	AR	614082		
FANCI			Fanconi anemia, complementation group I	AR	609053		
FANCL			Fanconi anemia, complementation group L	AR	614083		
FANCM	X	!					
FBN1	X	!	Acromicric dysplasia	AD	102370		
FBN1	X	!	MASS syndrome		604308		
FBN1	X	!	Marfan syndrome	AD	154700		
FBN1	X	!	Geleophysic dysplasia 2	AD	614185		
FBN1	X	!	Ectopia lentis, familial	AD	129600		
FBN1			Weill-Marchesani syndrome 2, dominant	AD	608328		
FBN1	X	!	Aortic aneurysm, ascending, and dissection				
FBN1	X	!	Stiff skin syndrome	AD	184900		
FBP1			Fructose-1,6-bisphosphatase deficiency	AR	229700		
FBXW4	X	!					
FGD1			Mental retardation, X-linked syndromic 16	XR	305400		
FGD1			Aarskog-Scott syndrome	XR	305400		
FGFR1	X	!	Jackson-Weiss syndrome	AD	123150		
FGFR1	X	!	Hypogonadotropic hypogonadism 2 with or without anosmia	AD	147950		
FGFR1			Hartsfield syndrome	AD	615465		
FGFR1	X	!	Trigonocephaly 1	AD	190440		
FGFR1			Pfeiffer syndrome	AD	101600		
FGFR1	X	!	Osteoglophonic dysplasia	AD	166250		
FGFR2	X	!	Bent bone dysplasia syndrome	AD	614592		
FGFR2	X	!	Jackson-Weiss syndrome	AD	123150		
FGFR2	X	!	Scaphocephaly, maxillary retrusion, and mental retardation		609579		
FGFR2			Beare-Stevenson cutis gyrata syndrome	AD	123790		
FGFR2	X	!	Gastric cancer, somatic		613659		
FGFR2	X	!	Scaphocephaly and Axenfeld-Rieger anomaly				
FGFR2			Apert syndrome	AD	101200		
FGFR2			Crouzon syndrome	AD	123500		
FGFR2			Saethre-Chotzen syndrome	AD	101400		
FGFR2			Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	AR	207410		
FGFR2	X	!	Craniosynostosis, nonspecific				
FGFR2	X	!	Pfeiffer syndrome	AD	101600		
FGFR2	X	!	Craniofacial-skeletal-dermatologic dysplasia	AD	101600		
FGFR2	X	!	LADD syndrome	AD	149730		
FGFR3			Achondroplasia	AD	100800		
FGFR3	X	!	Crouzon syndrome with acanthosis nigricans	AD	612247		
FGFR3			SADDAN	AD	616482		
