# Genepanel: PU Version: 01 Date: 2016-10-14        Post-processed: 2016-10-20 Removed genes: 2016-10-21
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
CCBE1	Hennekam lymphangiectasia-lymphedema syndrome 1	AR	235510			
CCDC22	Ritscher-Schinzel syndrome 2	XR	300963			
CCDC78	Myopathy, centronuclear, 4	AD	614807			
CCND2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3	AD	615938			
CD96	C syndrome	AR	211750			
CDC6	?Meier-Gorlin syndrome 5	AR	613805			
CDH15	Mental retardation, autosomal dominant 3	AD	612580			
CDK5RAP2	Microcephaly 3, primary, autosomal recessive	AR	604804			
CDKL5	Epileptic encephalopathy, early infantile, 2	XD	300672			
CDKN1C	Beckwith-Wiedemann syndrome	AD	130650			
CDKN1C	IMAGE syndrome	AD	614732			
CDON	Holoprosencephaly 11	AD;IC	614226			
CENPJ	?Seckel syndrome 4	AR	613676			
CENPJ	Microcephaly 6, primary, autosomal recessive	AR	608393			
CEP135	?Microcephaly 8, primary, autosomal recessive	AR	614673			
CEP152	Microcephaly 9, primary, autosomal recessive	AR	614852			
CEP152	Seckel syndrome 5	AR	613823			
CEP290	?Bardet-Biedl syndrome 14	AR	615991			
CEP290	Joubert syndrome 5	AR	610188			
CEP290	Meckel syndrome 4	AR	611134			
CEP290	Senior-Loken syndrome 6	AR	610189			
CEP41	Joubert syndrome 15	AR	614464			
CEP57	Mosaic variegated aneuploidy syndrome 2	AR	614114			
CEP63	?Seckel syndrome 6	AR	614728			
CHD2	Epileptic encephalopathy, childhood-onset	AD	615369			
CHD7	CHARGE syndrome	AD	214800			
CHMP1A	Pontocerebellar hypoplasia, type 8	AR	614961			
CHST14	Ehlers-Danlos syndrome, musculocontractural type 1	AR	601776			
CKAP2L	Filippi syndrome	AR	272440			
CLCN4	Mental retardation, X-linked 49/15	XR	300114			
CLN3	Ceroid lipofuscinosis, neuronal, 3	AR	204200			
CLN5	Ceroid lipofuscinosis, neuronal, 5	AR	256731			
CLN6	Ceroid lipofuscinosis, neuronal, 6	AR	601780			
CLN6	Ceroid lipofuscinosis, neuronal, Kufs type, adult onset	AR	204300			
CLN8	Ceroid lipofuscinosis, neuronal, 8	AR	600143			
CLN8	Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant	AR	610003			
CLP1	Pontocerebellar hypoplasia, type 10	AR	615803			
CLPP	Perrault syndrome 3	AR	614129			
CNTNAP2	Cortical dysplasia-focal epilepsy syndrome	AR	610042			
CNTNAP2	Pitt-Hopkins like syndrome 1	AR	610042			
COA5	?Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	AR	616500			
COASY	Neurodegeneration with brain iron accumulation 6	AR	615643			
COG1	Congenital disorder of glycosylation, type IIg	AR	611209			
COG4	Congenital disorder of glycosylation, type IIj	AR	613489			
COG5	Congenital disorder of glycosylation, type IIi	AR	613612			
COG7	Congenital disorder of glycosylation, type IIe	AR	608779			
COG8	Congenital disorder of glycosylation, type IIh	AR	611182			
COL18A1	Knobloch syndrome, type 1	AR	267750			
COL4A1	Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps	AD	611773			
COL4A1	Brain small vessel disease with or without ocular anomalies	AD	607595			
COL4A1	Porencephaly 1	AD	175780			
COL4A2	Porencephaly 2	AD	614483			
COL4A3BP	Mental retardation, autosomal dominant 34	AD	616351			
COLEC11	3MC syndrome 2	AR	265050			
COQ2	Coenzyme Q10 deficiency, primary, 1	AR	607426			
COQ2	{Multiple system atrophy, susceptibility to}	AD;AR	146500			
COQ9	Coenzyme Q10 deficiency, primary, 5	AR	614654			
COX10	Leigh syndrome due to mitochondrial COX4 deficiency	M;AR	256000			
COX10	Mitochondrial complex IV deficiency	M;AR	220110			
COX15	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	AR	615119			
COX15	Leigh syndrome due to cytochrome c oxidase deficiency	M;AR	256000			
COX7B	Linear skin defects with multiple congenital anomalies 2	XD	300887			
CPS1	Carbamoylphosphate synthetase I deficiency	AR	237300			
CRADD	Mental retardation, autosomal recessive 34	AR	614499			
CRBN	Mental retardation, autosomal recessive 2	AR	607417			
CREBBP	Rubinstein-Taybi syndrome	AD	180849			
CSPP1	Joubert syndrome 21	AR	615636			
CSTB	Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	AR	254800			
CTC1	Cerebroretinal microangiopathy with calcifications and cysts	AR	612199			
CTCF	Mental retardation, autosomal dominant 21	AD	615502			
CTDP1	Congenital cataracts, facial dysmorphism, and neuropathy	AR	604168			
CTNNB1	Mental retardation, autosomal dominant 19	AD	615075			
CTSA	Galactosialidosis	AR	256540			
CTSD	Ceroid lipofuscinosis, neuronal, 10	AR	610127			
CUL4B	Mental retardation, X-linked, syndromic 15 (Cabezas type)	XR	300354			
CYB5R3	Methemoglobinemia, type I	AR	250800			
CYB5R3	Methemoglobinemia, type II	AR	250800			
CYC1	Mitochondrial complex III deficiency, nuclear type 6	AR	615453			
DAG1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9	AR	616538			
DAG1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9	AR	613818			
DARS	Hypomyelination with brainstem and spinal cord involvement and leg spasticity	AR	615281			
DARS2	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation	AR	611105			
DBT	Maple syrup urine disease, type II	AR	248600			
DCAF17	Woodhouse-Sakati syndrome	AR	241080			
DCHS1	Mitral valve prolapse 2	AD	607829			
DCHS1	Van Maldergem syndrome 1	AR	601390			
DCX	Lissencephaly, X-linked	X	300067			
DCX	Subcortical laminal heteropia, X-linked	X	300067			
DDC	Aromatic L-amino acid decarboxylase deficiency	AR	608643			
DDHD2	Spastic paraplegia 54, autosomal recessive	AR	615033			
DDOST	?Congenital disorder of glycosylation, type Ir	AR	614507			
DDX11	Warsaw breakage syndrome	AR	613398			
DDX59	Orofaciodigital syndrome V	AR	174300			
DEAF1	Mental retardation, autosomal dominant 24	AD	615828			
DEPDC5	Epilepsy, familial focal, with variable foci 1	AD	604364			
DHCR24	Desmosterolosis	AR	602398			
DHCR7	Smith-Lemli-Opitz syndrome	AR	270400			
DHFR	Megaloblastic anemia due to dihydrofolate reductase deficiency	AR	613839			
DHTKD1	2-aminoadipic 2-oxoadipic aciduria	AR	204750			
DHTKD1	?Charcot-Marie-Tooth disease, axonal, type 2Q	AD	615025			
DIP2B	Mental retardation, FRA12A type	AD	136630			
DIS3L2	Perlman syndrome	AR	267000			
DKC1	Dyskeratosis congenita, X-linked	XR	305000			
DLAT	Pyruvate dehydrogenase E2 deficiency	AR	245348			
DLD	Dihydrolipoamide dehydrogenase deficiency	AR	246900			
DLG3	Mental retardation, X-linked 90	XR	300850			
DMD	Becker muscular dystrophy	XR	300376			
DMD	Cardiomyopathy, dilated, 3B	X	302045			
DMD	Duchenne muscular dystrophy	XR	310200			
DMPK	Myotonic dystrophy 1	AD	160900			
DNA2	?Seckel syndrome 8	AR	615807			
DNA2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6	AD	615156			
DNM1	Epileptic encephalopathy, early infantile, 31	AD	616346			
DNMT3A	Tatton-Brown-Rahman syndrome	AD	615879			
DNMT3B	Immunodeficiency-centromeric instability-facial anomalies syndrome 1	AR	242860			
DOCK6	Adams-Oliver syndrome 2	AR	614219			
DOCK7	Epileptic encephalopathy, early infantile, 23	AR	615859			
DOLK	Congenital disorder of glycosylation, type Im	AR	610768			
DPAGT1	Congenital disorder of glycosylation, type Ij	AR	608093			
DPAGT1	Myasthenic syndrome, congenital, 13, with tubular aggregates	AR	614750			
DPM1	Congenital disorder of glycosylation, type Ie	AR	608799			
DYM	Dyggve-Melchior-Clausen disease	AR	223800			
DYM	Smith-McCort dysplasia	AR	607326			
DYNC1H1	Charcot-Marie-Tooth disease, axonal, type 20	AD	614228			
DYNC1H1	Mental retardation, autosomal dominant 13	AD	614563			
DYNC1H1	Spinal muscular atrophy, lower extremity-predominant 1, AD	AD	158600			
DYRK1A	Mental retardation, autosomal dominant 7	AD	614104			
EBP	Chondrodysplasia punctata, X-linked dominant	XD	302960			
EBP	MEND syndrome	XR	300960			
EEF1A2	Epileptic encephalopathy, early infantile, 33	AD	616409			
EEF1A2	Mental retardation, autosomal dominant 38	AD	616393			
EFTUD2	Mandibulofacial dysostosis, Guion-Almeida type	AD	610536			
EHMT1	Kleefstra syndrome	AD	610253			
EIF2AK3	Wolcott-Rallison syndrome	AR	226980			
ELAC2	Combined oxidative phosphorylation deficiency 17	AR	615440			
ELOVL4	?Spinocerebellar ataxia 34	AD	133190			
ELOVL4	Ichthyosis, spastic quadriplegia, and mental retardation	AR	614457			
ELOVL4	Stargardt disease 3	AD	600110			
EMX2	Schizencephaly	AD	269160			
EP300	Rubinstein-Taybi syndrome 2	AD;IC	613684			
EPG5	Vici syndrome	AR	242840			
ERCC1	Cerebrooculofacioskeletal syndrome 4	AR	610758			
ERCC2	Cerebrooculofacioskeletal syndrome 2	AR	610756			
ERCC2	Trichothiodystrophy 1, photosensitive	AR	601675			
ERCC2	Xeroderma pigmentosum, group D	AR	278730			
ERCC3	Trichothiodystrophy 2, photosensitive	AR	616390			
ERCC3	Xeroderma pigmentosum, group B	AR	610651			
ERCC4	Fanconi anemia, complementation group Q	AR	615272			
ERCC4	Xeroderma pigmentosum, group F	AR	278760			
ERCC4	Xeroderma pigmentosum, type F/Cockayne syndrome	AR	278760			
ERCC5	Cerebrooculofacioskeletal syndrome 3	AR	616570			
ERCC5	Xeroderma pigmentosum, group G	AR	278780			
ERCC5	Xeroderma pigmentosum, group G/Cockayne syndrome	AR	278780			
ERCC6	Cerebrooculofacioskeletal syndrome 1	AR	214150			
ERCC6	Cockayne syndrome, type B	AR	133540			
ERCC6	De Sanctis-Cacchione syndrome	AR	278800			
ERCC6	Premature ovarian failure 11	AD	616946			
ERCC6L2	Bone marrow failure syndrome 2	AR	615715			
ERCC8	Cockayne syndrome, type A	AR	216400			
ERF	Craniosynostosis 4	AD	600775			
ERLIN2	Spastic paraplegia 18, autosomal recessive	AR	611225			
ERMARD	?Periventricular nodular heterotopia 6	AD	615544			
ESCO2	Roberts syndrome	AR	268300			
ESCO2	SC phocomelia syndrome	AR	269000			
ETFA	Glutaric acidemia IIA	AR	231680			
ETFB	Glutaric acidemia IIB	AR	231680			
ETFDH	Glutaric acidemia IIC	AR	231680			
ETHE1	Ethylmalonic encephalopathy	AR	602473			
EVC	Ellis-van Creveld syndrome	AR	225500			
EVC	Weyers acrodental dysostosis	AD	193530			
EVC2	Ellis-van Creveld syndrome	AR	225500			
EVC2	Weyers acrofacial dysostosis	AD	193530			
EXOSC3	Pontocerebellar hypoplasia, type 1B	AR	614678			
EZH2	Weaver syndrome	AD	277590			
FAM126A	Leukodystrophy, hypomyelinating, 5	AR	610532			
FAM134B	Neuropathy, hereditary sensory and autonomic, type IIB	AR	613115			
FAM20C	Raine syndrome	AR	259775			
FANCA	Fanconi anemia, complementation group A	AR	227650			
FANCB	Fanconi anemia, complementation group B	AR	300514			
FANCC	Fanconi anemia, complementation group C	AR	227645			
FANCD2	Fanconi anemia, complementation group D2	AR	227646			
FANCE	Fanconi anemia, complementation group E	AR	600901			
FANCF	Fanconi anemia, complementation group F	AR	603467			
FANCG	Fanconi anemia, complementation group G	AR	614082			
FANCI	Fanconi anemia, complementation group I	AR	609053			
FANCL	Fanconi anemia, complementation group L	AR	614083			
FAR1	Peroxisomal fatty acyl-CoA reductase 1 disorder	AR	616154			
FAT4	Hennekam lymphangiectasia-lymphedema syndrome 2	AR	616006			
FAT4	Van Maldergem syndrome 2	AR	615546			
FBN1	Weill-Marchesani syndrome 2, dominant	AD	608328			
FBP1	Fructose-1,6-bisphosphatase deficiency	AR	229700			
FBXL4	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)	AR	615471			
FGD1	Aarskog-Scott syndrome	XR	305400			
FGD1	Mental retardation, X-linked syndromic 16	XR	305400			
FGFR1	Hartsfield syndrome	AD	615465			
FGFR1	Hypogonadotropic hypogonadism 2 with or without anosmia	AD	147950			
FGFR1	Jackson-Weiss syndrome	AD	123150			
FGFR1	Osteoglophonic dysplasia	AD	166250			
FGFR1	Pfeiffer syndrome	AD	101600			
FGFR1	Trigonocephaly 1	AD	190440			
FGFR2	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	AR	207410			
FGFR2	Apert syndrome	AD	101200			
FGFR2	Beare-Stevenson cutis gyrata syndrome	AD	123790			
FGFR2	Craniofacial-skeletal-dermatologic dysplasia	AD	101600			
FGFR2	Crouzon syndrome	AD	123500			
FGFR2	Jackson-Weiss syndrome	AD	123150			
FGFR2	LADD syndrome	AD	149730			
FGFR2	Pfeiffer syndrome	AD	101600			
FGFR2	Saethre-Chotzen syndrome	AD	101400			
FGFR2	Scaphocephaly, maxillary retrusion, and mental retardation		609579			
FGFR3	Achondroplasia	AD	100800			
FGFR3	CATSHL syndrome	AD;AR	610474			
FGFR3	Crouzon syndrome with acanthosis nigricans	AD	612247			
FGFR3	Hypochondroplasia	AD	146000			
FGFR3	LADD syndrome	AD	149730			
FGFR3	Muenke syndrome	AD	602849			
FGFR3	SADDAN	AD	616482			
FGFR3	Thanatophoric dysplasia, type I	AD	187600			
FGFR3	Thanatophoric dysplasia, type II	AD	187601			
FIG4	?Polymicrogyria, bilateral temporooccipital	AR	612691			
FIG4	Amyotrophic lateral sclerosis 11	AD	612577			
FIG4	Charcot-Marie-Tooth disease, type 4J	AR	611228			
FIG4	Yunis-Varon syndrome	AR	216340			
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5	AR	613153			
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5	AR	606612			
FKRP	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5	AR	607155			
FKTN	Cardiomyopathy, dilated, 1X	AR	611615			
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	253800			
FKTN	Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4	AR	613152			
FKTN	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4	AR	611588			
FLNA	Congenital short bowel syndrome	XR	300048			
FLNA	Frontometaphyseal dysplasia 1	XR	305620			
FLNA	Heterotopia, periventricular	XD	300049			
FLNA	Melnick-Needles syndrome	XD	309350			
FLNA	Otopalatodigital syndrome, type I	XD	311300			
FLNA	Otopalatodigital syndrome, type II	XD	304120			
FLVCR2	Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome	AR	225790			
FMR1	Fragile X syndrome	XD	300624			
FMR1	Fragile X tremor/ataxia syndrome	XD	300623			
FMR1	Premature ovarian failure 1	X	311360			
FOLR1	Neurodegeneration due to cerebral folate transport deficiency	AR	613068			
FOXG1	Rett syndrome, congenital variant	IC	613454			
FOXP1	Mental retardation with language impairment and with or without autistic features	AD	613670			
FOXRED1	Leigh syndrome due to mitochondrial complex I deficiency	M;AR	256000			
FOXRED1	Mitochondrial complex I deficiency	M;XD;AR	252010			
FRAS1	Fraser syndrome	AR	219000			
FREM2	Fraser syndrome	AR	219000			
FTCD	Glutamate formiminotransferase deficiency	AR	229100			
FTL	Hyperferritinemia-cataract syndrome	AD	600886			
FTL	L-ferritin deficiency, dominant and recessive	AD;AR	615604			
FTL	Neurodegeneration with brain iron accumulation 3	AD	606159			
FTO	Growth retardation, developmental delay, facial dysmorphism	AR	612938			
FTSJ1	Mental retardation, X-linked 9/44	XR	309549			
FUCA1	Fucosidosis	AR	230000			
GAA	Glycogen storage disease II	AR	232300			
GABRA1	Epileptic encephalopathy, early infantile, 19	AD	615744			
GABRB3	Epileptic encephalopathy, early infantile, 43	AD	617113			
GABRG2	Epilepsy, generalized, with febrile seizures plus, type 3	AD	611277			
GAD1	?Cerebral palsy, spastic quadriplegic, 1	AR	603513			
GALC	Krabbe disease	AR	245200			
GALE	Galactose epimerase deficiency	AR	230350			
GALT	Galactosemia	AR	230400			
GAMT	Cerebral creatine deficiency syndrome 2	AR	612736			
GATAD2B	Mental retardation, autosomal dominant 18	AD	615074			
GATM	Cerebral creatine deficiency syndrome 3	AR	612718			
GBA	Gaucher disease, perinatal lethal	AR	608013			
GBA	Gaucher disease, type I	AR	230800			
GBA	Gaucher disease, type II	AR	230900			
