# Genepanel: BevegForst Version: 01 Date: 2016-09-05 Post-processed: 2016-10-21
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
19	3880617	3928080	NM_033064.4	0	+	ATCAY	BNIP-H	ENSG00000167654	ENST00000450849	3885765	3924590	3880617,3885724,3902484,3905431,3907731,3908265,3909483,3910800,3913755,3917739,3918803,3920763,3924580	3881006,3885842,3902543,3905653,3907917,3908368,3909615,3910887,3913854,3917775,3918875,3920796,3928080
14	51026742	51099784	NM_015915.4	0	+	ATL1	FSP1,AD-FSP	ENSG00000198513	ENST00000358385	51026983	51099057	51026742,51054548,51057658,51058252,51060563,51062293,51079976,51081090,51087316,51088560,51089894,51094748,51095223,51098944	51027017,51054796,51057793,51058357,51060614,51062350,51080069,51081229,51087444,51088617,51089966,51095189,51095227,51099784
11	108093558	108239826	NM_000051.3	0	+	ATM	TEL1,TELO1	ENSG00000149311	ENST00000278616	108098351	108236235	108093558,108098321,108098502,108099904,108106396,108114679,108115514,108117690,108119659,108121427,108122563,108123543,108124540,108126941,108128207,108129712,108137897,108139136,108141790,108141977,108143258,108143448,108150217,108151721,108153436,108154953,108158326,108159703,108160328,108163345,108164039,108165653,108168013,108170440,108172374,108173579,108175401,108178623,108180886,108183137,108186549,108186737,108188099,108190680,108192027,108196036,108196784,108198371,108199747,108200940,108202170,108202605,108203488,108204612,108205695,108206571,108213948,108216469,108218005,108224492,108225537,108235808,108236051	108093913,108098423,108098615,108100050,108106561,108114845,108115753,108117854,108119829,108121799,108122758,108123639,108124766,108127067,108128333,108129802,108138069,108139336,108141873,108142133,108143334,108143579,108150335,108151895,108153606,108155200,108158442,108159830,108160528,108163520,108164204,108165786,108168109,108170612,108172516,108173756,108175579,108178711,108181042,108183225,108186638,108186840,108188248,108190785,108192147,108196271,108196952,108198485,108199965,108201148,108202284,108202764,108203627,108204695,108205836,108206688,108214098,108216635,108218092,108224607,108225601,108235945,108239826
1	17312452	17338467	NM_022089.3	0	-	ATP13A2	HSA9947,CLN12	ENSG00000159363	ENST00000452699	17312715	17338233	17312452,17312957,17313299,17313540,17314632,17314816,17316185,17316381,17316621,17318228,17318503,17318737,17318980,17320123,17322470,17322748,17322880,17323514,17326505,17326740,17326894,17328528,17328790,17330826,17331186,17331508,17331868,17332178,17338223	17312853,17313127,17313451,17313764,17314729,17314969,17316265,17316498,17316782,17318353,17318624,17318897,17319076,17320330,17322659,17322795,17322991,17323670,17326637,17326807,17327029,17328598,17328868,17330906,17331316,17331567,17332051,17332273,17338467
1	160085519	160113374	NM_000702.3	0	+	ATP1A2	FHM2	ENSG00000018625	ENST00000361216	160085651	160111112	160085519,160090695,160090981,160093002,160093732,160094085,160094925,160097341,160098441,160098769,160099055,160099891,160100211,160104273,160104934,160105223,160105628,160106036,160106359,160106690,160109429,160109682,160111083	160085663,160090800,160091041,160093206,160093846,160094220,160095043,160097610,160098640,160098879,160099190,160100081,160100387,160104410,160105085,160105392,160105783,160106160,160106505,160106821,160109531,160109774,160113374
19	42470733	42498428	NM_152296.4	0	-	ATP1A3		ENSG00000105409	ENST00000302102	42471088	42498228	42470733,42471400,42471813,42472936,42473586,42474336,42474539,42479780,42480567,42482087,42482302,42482757,42485653,42485873,42486059,42489069,42489457,42490015,42490267,42492087,42492469,42492627,42498222	42471117,42471492,42471915,42473067,42473732,42474460,42474694,42479949,42480718,42482224,42482478,42482950,42485788,42485983,42486258,42489338,42489575,42490150,42490381,42492291,42492529,42492714,42498428
X	152801579	152848387	NM_001001344.2	0	+	ATP2B3	PMCA3,CFAP39	ENSG00000067842	ENST00000263519	152801705	152845756	152801579,152806816,152807126,152807780,152808500,152811545,152813292,152814097,152814954,152815502,152818492,152821506,152821788,152822374,152823569,152825186,152826133,152827592,152830378,152845435	152801913,152807014,152807384,152807906,152808626,152811587,152813457,152814312,152815197,152815744,152818727,152821686,152821876,152822481,152823761,152825400,152826345,152827700,152830561,152848387
13	52506805	52585630	NM_000053.3	0	-	ATP7B		ENSG00000123191	ENST00000242839	52508891	52585473	52506805,52509728,52511411,52511611,52513186,52515216,52516521,52518244,52520419,52523797,52524142,52524407,52531651,52532446,52534283,52535972,52539007,52542579,52544627,52548070,52585422	52509165,52509831,52511529,52511815,52513329,52515360,52516690,52518427,52520614,52523932,52524297,52524535,52531743,52532680,52534458,52536049,52539169,52542743,52544885,52549304,52585630
9	93976096	94124206	NM_001698.2	0	-	AUH		ENSG00000148090	ENST00000375731	93976629	94124171	93976096,93978340,93979558,93983086,94058302,94060265,94087599,94118164,94118369,94123909	93976707,93978388,93979609,93983274,94058359,94060358,94087686,94118252,94118437,94124206
12	58019677	58027022	NM_001478.4	0	-	B4GALNT1	beta1-4GalNAc-T	ENSG00000135454	ENST00000341156	58020526	58025915	58019677,58021400,58021904,58022495,58022830,58023934,58024260,58024762,58024982,58025697,58026554	58020744,58021641,58022045,58022686,58022929,58024115,58024301,58024869,58025147,58025916,58027022
X	152965946	152989582	NM_001139441.1	0	-	BCAP31	DXS1357E,BAP31,6C6-Ag,CDM	ENSG00000185825	ENST00000458587	152966391	152988699	152965946,152967461,152968389,152969413,152980996,152986326,152988607,152989470	152966430,152967562,152968513,152969549,152981144,152986427,152988743,152989582
19	41903693	41930910	NM_000709.3	0	+	BCKDHA	MSU	ENSG00000248098	ENST00000269980	41903732	41930513	41903693,41916541,41916827,41919953,41925039,41928068,41928533,41928902,41930342	41903840,41916721,41916914,41920062,41925201,41928275,41928675,41929074,41930910
6	80816343	81055987	NM_183050.2	0	+	BCKDHB		ENSG00000083123	ENST00000320393	80816410	81053521	80816343,80837263,80838877,80877394,80878591,80880998,80910650,80912818,80982851,81053380	80816606,80837341,80838946,80877528,80878747,80881107,80910748,80912929,80982938,81055987
9	95473644	95527083	NM_001003800.1	0	-	BICD2	KIAA0699	ENSG00000185963	ENST00000356884	95477435	95527026	95473644,95480078,95480820,95482581,95484937,95491305,95526786	95477745,95480230,95481864,95483037,95485090,95491518,95527083
11	62457733	62473787	NM_032667.6	0	-	BSCL2		ENSG00000168000	ENST00000407022	62457838	62472984	62457733,62458083,62458258,62458546,62458751,62459847,62460134,62462039,62469939,62472772,62473674	62457993,62458164,62458339,62458613,62458893,62459945,62460269,62462183,62470021,62473089,62473787
10	102747292	102754158	NM_021830.4	0	+	C10orf2	PEO,PEO1,TWINKLE,FLJ21832,TWINL	ENSG00000107815	ENST00000311916	102747967	102753267	102747292,102749400,102750192,102750625,102752946	102749210,102749641,102750300,102750767,102754158
12	123717843	123742506	NM_152269.4	0	+	C12orf65	FLJ38663,SPG55	ENSG00000130921	ENST00000253233	123738221	123741578	123717843,123738193,123741359	123718078,123738503,123742506
19	30189792	30205963	NM_001031726.3	0	-	C19orf12	MGC10922,DKFZP762D096,NBIA4	ENSG00000131943	ENST00000392278	30193618	30205836	30189792,30199160,30205813	30193884,30199330,30205963
8	61101422	61193954	NM_004056.4	0	-	CA8	CARP	ENSG00000178538	ENST00000317995	61121343	61193706	61101422,61121308,61135207,61137095,61139431,61144842,61178483,61192247,61193606	61102544,61121478,61135320,61137144,61139494,61144938,61178608,61192439,61193954
19	13317255	13617274	NM_001127221.1	0	-	CACNA1A	Cav2.1,EA2,APCA,HPCA,FHM	ENSG00000141837	ENST00000573710	13318859	13617038	13317255,13319569,13320125,13321430,13322916,13323197,13323444,13325046,13325314,13335480,13339512,13340895,13342523,13345734,13346022,13346427,13355995,13363804,13365908,13368163,13370377,13372263,13373547,13386663,13387882,13394080,13395881,13397316,13409357,13411363,13414359,13414580,13418595,13418933,13419229,13423482,13427925,13441057,13443682,13445191,13446619,13470419,13476130,13482501,13563689,13565920,13616745	13318862,13319823,13320312,13321466,13323030,13323336,13323554,13325147,13325422,13335586,13339609,13341023,13342674,13345850,13346088,13346544,13356079,13363915,13366073,13368365,13370515,13372424,13373647,13386770,13387942,13394210,13396020,13397780,13410167,13411470,13414427,13414698,13418668,13419065,13419342,13423595,13428135,13441150,13443739,13445307,13446723,13470613,13476283,13482593,13563829,13566026,13617274
17	48638428	48704832	NM_018896.4	0	+	CACNA1G	Cav3.1,NBR13	ENSG00000006283	ENST00000359106	48638820	48704112	48638428,48646230,48646525,48647066,48649238,48649914,48650381,48652903,48655548,48667831,48668795,48669099,48669297,48672353,48673922,48674090,48676788,48678086,48678411,48680180,48680375,48681515,48683258,48684260,48685187,48687242,48692721,48693635,48694798,48695219,48695408,48695582,48696015,48697043,48699020,48701267,48701720,48703377	48639062,48646342,48646659,48647164,48649398,48650215,48650474,48653687,48655925,48667983,48668981,48669214,48669453,48672422,48674007,48674284,48677220,48678187,48678535,48680249,48680560,48681642,48683384,48684350,48685380,48687296,48692873,48693745,48694932,48695290,48695487,48695704,48696369,48697187,48699155,48701436,48701890,48704832
2	152689285	152955593	NM_000726.3	0	-	CACNB4	EJM4	ENSG00000182389	ENST00000539935	152695632	152955525	152689285,152698416,152709961,152711737,152717224,152725690,152727044,152727355,152728930,152732939,152737313,152739764,152954843,152955462	152695893,152698602,152710057,152711889,152717334,152725749,152727125,152727375,152729007,152733070,152737436,152739884,152954927,152955593
11	64948685	64979477	NM_001198868.1	0	+	CAPN1	muCANP,muCL,CANP,CANPL1	ENSG00000014216	ENST00000533820	64950172	64978757	64948685,64950171,64950598,64950944,64953387,64953640,64954685,64955425,64955884,64956056,64972153,64973180,64973933,64974250,64975525,64975675,64976793,64977319,64977488,64977806,64978284,64978730	64948881,64950439,64950668,64951063,64953521,64953809,64954769,64955511,64955959,64956217,64972329,64973192,64974145,64974290,64975591,64975733,64976858,64977388,64977567,64977923,64978343,64979477
X	41374188	41782287	NM_003688.3	0	-	CASK	LIN2,CAGH39,FGS4	ENSG00000147044	ENST00000378166	41379672	41782241	41374188,41383203,41390259,41393958,41394145,41401943,41412971,41414852,41416284,41419031,41420811,41428920,41437592,41446159,41448767,41469156,41481869,41485856,41495830,41519691,41524529,41530680,41598636,41604776,41646430,41712367,41782182	41379849,41383287,41390462,41394039,41394211,41402059,41413168,41414888,41416353,41419100,41420897,41428999,41437781,41446240,41448845,41469278,41481887,41485956,41495914,41519814,41524705,41530783,41598709,41604854,41646536,41712480,41782287
21	44473300	44496040	NM_000071.2	0	-	CBS	HIP4	ENSG00000160200	ENST00000398165	44473989	44492303	44473300,44476912,44478254,44478943,44479335,44480550,44482420,44483062,44484009,44485312,44485496,44485725,44486352,44488618,44492094,44493375,44495879	44474093,44476997,44478363,44479078,44479413,44480656,44482505,44483188,44484101,44485382,44485631,44485805,44486487,44488725,44492311,44493451,44496040
5	10250281	10266501	NM_012073.3	0	+	CCT5	KIAA0098	ENSG00000150753	ENST00000280326	10250452	10264895	10250281,10254256,10254785,10256066,10258222,10258497,10260903,10261671,10262592,10263245,10264767	10250557,10254317,10254950,10256265,10258415,10258647,10261023,10261857,10262730,10263426,10266501
16	89710838	89724193	NM_002768.4	0	-	CHMP1A	KIAA0047,CHMP1,Vps46A	ENSG00000131165	ENST00000397901	89712473	89723996	89710838,89712934,89713610,89715758,89717976,89720311,89723989	89712495,89713122,89713739,89715905,89718054,89720331,89724193
11	57425215	57429337	NM_006831.2	0	+	CLP1	HEAB,hClp1	ENSG00000172409	ENST00000302731	57426948	57428908	57425215,57426926,57428236	57425332,57427554,57429337
17	40714091	40718299	NM_025233.6	0	+	COASY	DPCK,NBP,CoASY,PPAT	ENSG00000068120	ENST00000393818	40714640	40717986	40714091,40715978,40716463,40716726,40717000,40717244,40717488,40717676,40717923	40715340,40716193,40716595,40716916,40717065,40717329,40717586,40717823,40718299
4	84184976	84206067	NM_015697.7	0	-	COQ2	CL640,FLJ26072	ENSG00000173085	ENST00000311469	84185351	84206067	84184976,84188738,84191012,84193239,84194648,84200100,84205664	84185516,84188927,84191146,84193325,84194770,84200267,84206067
16	57481336	57495187	NM_020312.3	0	+	COQ9	DKFZP434K046	ENSG00000088682	ENST00000262507	57481417	57494536	57481336,57484951,57486712,57490415,57490842,57492157,57493476,57493962,57494500	57481490,57485120,57486848,57490558,57490927,57492262,57493632,57494016,57495187
3	148890289	148939832	NM_000096.3	0	-	CP		ENSG00000047457	ENST00000264613	148891500	148939579	148890289,148894036,148895626,148896201,148897342,148899791,148901252,148903025,148904306,148905838,148916153,148917498,148919888,148923954,148925149,148926997,148927953,148930237,148939433	148891517,148894199,148895766,148896418,148897449,148899920,148901392,148903233,148904519,148905989,148916365,148917651,148920028,148924126,148925404,148927171,148928166,148930485,148939832
5	149432853	149492935	NM_005211.3	0	-	CSF1R	C-FMS,CSFR,CD115	ENSG00000182578	ENST00000286301	149433631	149465990	149432853,149433884,149434799,149435588,149435781,149436849,149437066,149439262,149440424,149441053,149441285,149447777,149449435,149449744,149450018,149452863,149456838,149457674,149459614,149460329,149465941,149492823	149433787,149433993,149434899,149435700,149435904,149436947,149437155,149439425,149440535,149441158,149441412,149447893,149449626,149449865,149450134,149453056,149456998,149457811,149459899,149460587,149466170,149492935
10	16865964	17171816	NM_001081.3	0	-	CUBN	IFCR,gp280	ENSG00000107611	ENST00000377833	16866973	17171764	16865964,16870803,16873250,16877012,16878233,16882328,16882883,16893233,16911634,16916372,16918895,16930415,16932369,16940994,16942623,16943336,16945964,16948201,16949506,16955809,16957030,16957819,16960620,16961961,16967239,16967582,16970155,16975085,16979590,16980961,16982030,16989233,16990476,16991999,16994274,16996387,17024482,17026103,17032332,17061831,17083031,17085825,17087005,17087932,17089412,17107506,17110062,17110603,17113424,17113825,17126269,17127595,17130162,17142003,17145123,17146417,17147455,17151638,17152917,17156025,17157469,17164793,17165586,17168759,17169827,17171119,17171642	16867081,16871039,16873416,16877194,16878381,16882534,16883046,16893442,16911852,16916502,16919096,16930565,16932526,16941182,16942849,16943458,16946114,16948408,16949678,16955991,16957171,16958029,16960799,16962136,16967423,16967773,16970302,16975283,16979783,16981146,16982236,16989366,16990605,16992110,16994388,16996547,17024652,17026278,17032514,17061982,17083219,17085982,17087187,17088093,17089602,17107637,17110279,17110769,17113603,17113970,17126460,17127758,17130344,17142238,17145236,17146604,17147574,17151734,17153049,17156188,17157596,17164897,17165688,17168798,17169923,17171249,17171816
2	219646471	219680016	NM_000784.3	0	+	CYP27A1	CTX,CP27	ENSG00000135929	ENST00000258415	219646905	219679753	219646471,219674299,219676944,219677274,219677646,219678743,219679102,219679267,219679633	219647160,219674490,219677144,219677472,219677819,219678910,219679181,219679480,219680016
4	108852716	108874613	NM_183075.2	0	+	CYP2U1	SPG49	ENSG00000155016	ENST00000332884	108852799	108871579	108852716,108866125,108868531,108870505,108871400	108853289,108866761,108868693,108870673,108874613
8	65508528	65711348	NM_004820.3	0	-	CYP7B1		ENSG00000172817	ENST00000310193	65509198	65711144	65508528,65517238,65527582,65528247,65536959,65711022	65509486,65517414,65527789,65528838,65537096,65711348
1	173793796	173827682	NM_018122.4	0	+	DARS2	FLJ10514	ENSG00000117593	ENST00000361951	173794367	173826843	173793796,173795824,173797470,173799797,173800672,173802513,173803610,173806077,173807327,173808504,173810003,173814366,173819464,173822486,173822932,173825803,173826655	173794494,173795924,173797537,173799899,173800768,173802637,173803657,173806184,173807397,173808684,173810111,173814429,173819617,173822705,173823043,173825879,173827682
1	100652477	100715409	NM_001918.3	0	-	DBT		ENSG00000137992	ENST00000370132	100661810	100715376	100652477,100671785,100672000,100676249,100680372,100681538,100684181,100696288,100700991,100706316,100715325	100661978,100671857,100672192,100676327,100680539,100681755,100684303,100696470,100701067,100706440,100715409
2	172290760	172341562	NM_025000.3	0	+	DCAF17	FLJ13096	ENSG00000115827	ENST00000375255	172291087	172337624	172290760,172291592,172300032,172305190,172306388,172309633,172314480,172314881,172325397,172330375,172333369,172334496,172336547,172337483	172291213,172291696,172300123,172305327,172306467,172309723,172314585,172314987,172325540,172330485,172333460,172334580,172336703,172341562
2	74588280	74607482	NM_004082.4	0	-	DCTN1		ENSG00000204843	ENST00000361874	74588625	74607164	74588280,74589178,74589776,74590120,74590420,74590740,74592201,74592641,74593019,74593370,74593585,74593909,74594171,74594478,74594822,74595097,74595854,74596224,74596426,74597091,74597312,74597592,74597747,74598105,74598663,74600054,74601449,74603868,74604558,74604774,74605126,74607131	74588763,74589268,74589856,74590304,74590554,74590755,74592368,74592784,74593145,74593502,74593747,74594059,74594234,74594547,74594991,74595258,74596007,74596341,74596618,74597196,74597472,74597671,74597952,74598303,74598855,74600075,74601467,74603889,74604593,74604853,74605372,74607482
7	50526133	50628768	NM_000790.3	0	-	DDC	AADC	ENSG00000132437	ENST00000357936	50530928	50611783	50526133,50530910,50534911,50537770,50544321,50547484,50563047,50566845,50571690,50595834,50596905,50605557,50607612,50611582,50628710	50526541,50531129,50535013,50537869,50544341,50547561,50563115,50566940,50571757,50595978,50597040,50605677,50607726,50611811,50628768
14	53503457	53620046	NM_001160147.1	0	-	DDHD1	KIAA1705,PA-PLA1	ENSG00000100523	ENST00000395606	53513485	53619816	53503457,53521155,53522377,53525194,53527843,53529660,53539314,53540458,53558502,53560033,53569748,53570400,53618978	53513667,53521347,53522630,53525344,53527919,53529923,53539421,53540565,53558650,53560162,53569769,53570574,53620046
8	38089008	38120287	NM_015214.2	0	+	DDHD2	KIAA0725,SPG54	ENSG00000085788	ENST00000397166	38090512	38117639	38089008,38090504,38091911,38095055,38095606,38097792,38099767,38103259,38103750,38105230,38107225,38109429,38109649,38110239,38110474,38111073,38117557,38118117	38089377,38090732,38092102,38095145,38095727,38097882,38099903,38103468,38103818,38105353,38107321,38109546,38109805,38110342,38110645,38111236,38117665,38120287
11	111895537	111935002	NM_001931.4	0	+	DLAT	PDC-E2	ENSG00000150768	ENST00000280346	111896196	111933259	111895537,111896921,111899238,111899515,111904127,111907996,111909967,111914189,111915861,111916586,111921957,111930626,111931761,111933129	111896475,111897023,111899363,111899669,111904254,111908184,111910121,111914257,111915954,111916694,111922073,111930789,111931898,111935002
19	10244021	10305755	NM_001130823.1	0	-	DNMT1	MCMT,CXXC9	ENSG00000130816	ENST00000359526	10244342	10305575	10244021,10244892,10246411,10246796,10247760,10248507,10249114,10250351,10250721,10251456,10251780,10252703,10254441,10257026,10259559,10260128,10260528,10262073,10262425,10264968,10265261,10265580,10266528,10267066,10270333,10270517,10270693,10271059,10273342,10274001,10277273,10279005,10283765,10284546,10286215,10287967,10290862,10291025,10291453,10292716,10305495	10244377,10244983,10246528,10246963,10247956,10248685,10249281,10250493,10251004,10251585,10251865,10252896,10254663,10257200,10259693,10260333,10260644,10262221,10262523,10265155,10265449,10265732,10266621,10267185,10270443,10270598,10270739,10271094,10273424,10274036,10277361,10279040,10283850,10284581,10286294,10288043,10290910,10291245,10291561,10292753,10305755
12	124105569	124118323	NM_001414.3	0	-	EIF2B1	EIF-2Balpha,EIF-2B,EIF2BA	ENSG00000111361	ENST00000424014	124106302	124118104	124105569,124107182,124109333,124110971,124111590,124114715,124114943,124116891,124118091	124106467,124107308,124109409,124111040,124111703,124114832,124115080,124116993,124118323
