# Genepanel: PCD Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
8	133584200	133687863	NM_012472.4	0	-	LRRC6	LRRC6	ENSG00000129295	ENST00000519595	133584553	133687739	133584200,133595940,133622407,133623539,133627283,133634856,133637517,133644985,133650180,133669075,133673705,133687729	133584728,133596022,133622507,133623609,133627343,133634934,133637700,133645209,133650353,133669153,133673873,133687863	AR	Primær ciliær dyskinesi, 19
9	34458749	34520987	NM_012144.3	0	+	DNAI1	DNAI1	ENSG00000122735	ENST00000242317	34459003	34520754	34458749,34483445,34485139,34485434,34489320,34490009,34490366,34491492,34493191,34497112,34500719,34501135,34506624,34512106,34512334,34513109,34514391,34514637,34517282,34520655	34459051,34483478,34485238,34485515,34489447,34490122,34490486,34491552,34493326,34497197,34500837,34501179,34506872,34512196,34512422,34513189,34514540,34514737,34517465,34520987	AR	Primær ciliær dyskinesi, 1, med eller uten situs inversus
10	28101092	28287984	NM_018076.3	0	-	ARMC4	ARMC4	ENSG00000169126	ENST00000305242	28101440	28284071	28101092,28149553,28151362,28196591,28223938,28225654,28228825,28229491,28233150,28233744,28250496,28257851,28260036,28270394,28272771,28273112,28273947,28276314,28283847,28287922	28101554,28149775,28151551,28196706,28224181,28225809,28228936,28229734,28233360,28233891,28250644,28257947,28260242,28270511,28272908,28273219,28274140,28276472,28284109,28287984	AR	Primær ciliær dyskinesi, 23
12	49297892	49315359	NM_033124.4	0	+	CCDC65	CCDC65	ENSG00000139537	ENST00000320516	49298119	49315226	49297892,49298728,49308186,49310752,49312057,49312467,49314712,49314950	49298251,49298896,49308356,49310891,49312255,49312686,49314865,49315359	AR	Primær ciliær dyskinesi, 27
14	50091891	50101948	NM_018139.2	0	-	DNAAF2	DNAAF2 (KTU)	ENSG00000165506	ENST00000298292	50092259	50101867	50091891,50094729,50100004	50092766,50094873,50101948	AR	Primær ciliær dyskinesi, 10
14	74111577	74170431	NM_031427.3	0	+	DNAL1	DNAL1	ENSG00000119661	ENST00000553645	74111742	74162645	74111577,74121549,74125549,74128689,74138244,74153961,74156077,74162604	74111745,74121588,74125659,74128745,74138300,74154088,74156218,74170431	AR	Primær ciliær dyskinesi, 16
15	55722505	55800432	NM_130810.3	0	-	DYX1C1	DYX1C1	ENSG00000256061	ENST00000321149	55722867	55790527	55722505,55724694,55727102,55731669,55742419,55759127,55783320,55789909,55790404,55800319	55722977,55724800,55727256,55731779,55742565,55759359,55783454,55790057,55790782,55800432	AR	Primær ciliær dyskinesi, 25
16	84178864	84211524	NM_178452.4	0	+	DNAAF1	DNAAF1 (LRRC50)	ENSG00000154099	ENST00000378553	84179045	84211447	84178864,84182611,84183855,84188181,84189187,84193279,84199388,84203464,84205865,84208274,84209538,84211334	84179169,84182747,84183947,84188403,84189354,84193401,84199555,84203962,84205981,84208328,84209905,84211524	AR	Primær ciliær dyskinesi, 13
17	42977079	42981047	NM_213607.2	0	+	CCDC103	CCDC103	ENSG00000167131	ENST00000417826	42978366	42980185	42977079,42978357,42978887,42979732	42977227,42978509,42979020,42981047	AR	Primær ciliær dyskinesi, 17
17	72270385	72311023	NM_023036.4	0	+	DNAI2	DNAI2	ENSG00000171595	ENST00000582036	72277956	72310355	72270385,72277945,72281178,72283115,72285732,72287158,72295856,72297184,72301357,72305391,72306155,72308141,72310259,72310727	72270484,72278139,72281340,72283237,72285875,72287272,72295996,72297307,72301581,72305527,72306302,72308369,72310410,72311023	AR	Primær ciliær dyskinesi, 9, med eller uten situs inversus
17	78010430	78074412	NM_017950.3	0	+	CCDC40	CCDC40	ENSG00000141519	ENST00000397545	78010461	78073574	78010430,78011921,78013610,78021077,78022381,78023704,78023862,78032292,78032656,78039283,78055344,78055674,78058541,78059801,78061405,78061809,78063562,78069061,78071043,78073325	78010490,78011985,78014069,78021201,78022560,78023788,78024082,78032450,78032779,78039405,78055588,78055857,78058787,78060015,78061575,78061901,78063683,78069250,78071202,78074412	AR	Primær ciliær dyskinesi, 15
19	11531271	11545980	NM_145045.4	0	-	CCDC151	CCDC151	ENSG00000198003	ENST00000356392	11531502	11545837	11531271,11531795,11532344,11533138,11533368,11534545,11536963,11537265,11537502,11537692,11541518,11541718,11545593	11531615,11531880,11532500,11533295,11533529,11534698,11537086,11537391,11537604,11537860,11541596,11541840,11545980	AR	Primær ciliær dyskinesi, 30
19	48799708	48823332	NM_144577.3	0	-	CCDC114	CCDC114	ENSG00000105479	ENST00000315396	48800232	48822028	48799708,48800846,48801256,48801433,48805950,48806269,48806906,48807209,48809512,48814809,48815250,48821643,48821969,48822690	48800775,48800925,48801354,48801597,48806119,48806352,48807041,48807397,48809580,48814923,48815373,48821833,48822069,48823332	AR	Primær ciliær dyskinesi, 20
19	55670028	55678090	NM_001256714.1	0	-	DNAAF3	DNAAF3	ENSG00000167646	ENST00000527223	55670429	55678016	55670028,55670900,55671266,55672007,55672432,55672660,55673010,55673500,55676737,55677225,55677696,55677879	55670817,55670975,55671378,55672143,55672555,55672786,55673193,55673658,55676831,55677431,55677785,55678090	AR	Primær ciliær dyskinesi, 2
21	33973983	33984918	NM_021254.2	0	-	C21orf59	C21ORF59	ENSG00000159079	ENST00000290155	33974172	33984553	33973983,33974581,33975470,33976434,33979958,33982147,33984414	33974283,33974677,33975602,33976593,33980026,33982315,33984918	AR	Primær ciliær dyskinesi, 26
21	43892596	43916464	NM_080860.3	0	-	RSPH1	RSPH1	ENSG00000160188	ENST00000291536	43892927	43916296	43892596,43896007,43897400,43902746,43905778,43906480,43912867,43913075,43916242	43892980,43896157,43897554,43902818,43905914,43906571,43912973,43913189,43916464	AR	Primær ciliær dyskinesi, 24
X	13752831	13787480	NM_003611.2	0	+	OFD1	OFD1	ENSG00000046651	ENST00000340096	13753190	13787227	13752831,13753366,13754596,13756964,13757120,13762533,13764437,13764898,13767545,13769367,13771486,13773269,13774696,13775778,13776455,13778233,13779203,13780462,13781863,13785245,13786172,13786836,13787184	13753202,13753465,13754797,13757033,13757151,13762638,13764574,13765072,13767652,13769487,13771560,13773361,13774886,13775909,13776567,13778839,13779330,13780563,13781974,13785403,13786343,13786904,13787480	XR	XLMR med ciliær dyskinesi
X	38128422	38186788	NM_000328.2	0	-	RPGR	RPGR	ENSG00000156313	ENST00000318842	38128878	38186620	38128422,38132638,38134341,38135839,38146346,38147113,38150211,38150645,38156536,38158208,38160499,38163887,38169867,38176568,38178081,38180279,38182105,38182651,38186592	38129085,38132730,38134399,38136025,38146498,38147294,38150277,38150737,38156705,38158394,38160624,38164043,38170026,38176718,38178240,38180342,38182198,38182777,38186788	XR	Retinitis Pigmentosa med PCD
