# Genepanel: Mitokon Version: 02 Date: 2016-08-18
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
GARS	Neuropathy, distal hereditary motor, type VA	AD	600794			
GARS	Charcot-Marie-Tooth disease, type 2D	AD	601472			
GDAP1	Charcot-Marie-Tooth disease, axonal, with vocal cord paresis	AR	607706			
GDAP1	Charcot-Marie-Tooth disease, axonal, type 2K	AR;AD	607831			
GDAP1	Charcot-Marie-Tooth disease, type 4A	AR	214400			
GDAP1	Charcot-Marie-Tooth disease, recessive intermediate, A	AR	608340			
GFER	Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay	AR	613076			
GFM1	Combined oxidative phosphorylation deficiency 1	AR	609060			
GFM2	Leigh syndrome with arthrogryposis multiplex congenita	AR		22700954;26016410		
GLRX5	Spasticity, childhood-onset, with hyperglycinemia	AR	616859			
GLUD1	Hyperinsulinism-hyperammonemia syndrome	AD	606762			
GTPBP3	Combined oxidative phosphorylation deficiency 23	AR	616198			
HARS2	Perrault syndrome 2	AR	614926			
HCCS	Linear skin defects with multiple congenital anomalies 1	XD	309801			
HIBCH	3-hydroxyisobutryl-CoA hydrolase deficiency	AR	250620			
HLCS	Holocarboxylase synthetase deficiency	AR	253270			
HSPA9	Even-plus syndrome	AR	616854			
HSPD1	Leukodystrophy, hypomyelinating, 4	AR	612233			
HSPD1	Spastic paraplegia 13, autosomal dominant	AD	605280			
IARS2	Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia	AR	616007			
IBA57	Spastic paraplegia 74, autosomal recessive	AR	616451			
IBA57	Multiple mitochondrial dysfunctions syndrome 3	AR	615330			
IDH2	D-2-hydroxyglutaric aciduria 2	AD	613657			
ISCA2	Multiple mitochondrial dysfunctions syndrome 4	AR	616370			
ISCU	Myopathy with lactic acidosis, hereditary	AR	255125			
KARS	Charcot-Marie-Tooth disease, recessive intermediate, B	AR	613641			
LARS2	Perrault syndrome 4	AR	615300			
LIAS	Hyperglycinemia, lactic acidosis, and seizures	AR	614462			
LIPT1	Lipoyltransferase 1 deficiency	AR	616299			
LONP1	CODAS syndrome	AR	600373			
LRPPRC	Leigh syndrome, French-Canadian type	AR	220111			
LYRM4	Combined oxidative phosphorylation deficiency 19	AR	615595			
LYRM7	Mitochondrial complex III deficiency, nuclear type 8	AR	615838			
MARS2	Spastic ataxia 3, autosomal recessive	AR	611390			
MARS2	Combined oxidative phosphorylation deficiency 25	AR	616430			
MFF	Developmental delay, microcephaly, lactic acidosis, basal ganglia disease	AR		22499341		
MFN2	Hereditary motor and sensory neuropathy VIA	AD	601152			
MFN2	Charcot-Marie-Tooth disease, type 2A2	AR;AD	609260			
MGME1	Mitochondrial DNA depletion syndrome 11	AR	615084			
MICU1	Myopathy with extrapyramidal signs	AR	615673			
MPC1	Mitochondrial pyruvate carrier deficiency	AR	614741			
MPV17	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	AR	256810			
MRPL3	Combined oxidative phosphorylation deficiency 9	AR	614582			
MRPL44	Combined oxidative phosphorylation deficiency 16	AR	615395			
MRPS16	Combined oxidative phosphorylation deficiency 2	AR	610498			
MRPS22	Combined oxidative phosphorylation deficiency 5	AR	611719			
MRPS23	Combined oxidative phosphorylation deficiency	AR		26741492		
MRPS7	Combined oxidative phosphorylation deficiency	AR		25556185		
MTFMT	Combined oxidative phosphorylation deficiency 15	AR	614947			
MTO1	Combined oxidative phosphorylation deficiency 10	AR	614702			
MTPAP	Ataxia, spastic, 4	AR	613672			
NADK2	2,4-dienoyl-CoA reductase (DECR) deficiency	AR	616034			
NARS2	Combined oxidative phosphorylation deficiency 24	AR	616239			
NDUFA1	Mitochondrial complex I deficiency	XD	252010			
NDUFA10	Leigh syndrome	AR	256000			
NDUFA11	Mitochondrial complex I deficiency	AR	252010			
NDUFA12	Leigh syndrome due to mitochondrial complex 1 deficiency	AR	256000			
NDUFA13	Mitochondrial complex I deficiency	AR		25901006		
NDUFA2	Leigh syndrome due to mitochondrial complex I deficiency	AR	256000			
NDUFA4	Mitochondrial complex IV deficiency, Leigh syndrome	AR		23746447		
NDUFA8	Combined oxidative phosphorylation deficiency			15576045	digenic?	
NDUFA9	Leigh syndrome due to mitochondrial complex I deficiency	AR	256000			
NDUFAF1	Mitochondrial complex I deficiency	AR	252010			
NDUFAF2	Mitochondrial complex I deficiency	AR	252010			
NDUFAF2	Leigh syndrome	AR	256000			
NDUFAF3	Mitochondrial complex I deficiency	AR	252010			
NDUFAF4	Mitochondrial complex I deficiency	AR	252010			
NDUFAF5	Mitochondrial complex I deficiency	AR	252010			
NDUFAF6	Leigh syndrome	AR	256000			
NDUFB11	Linear skin defects with multiple congenital anomalies 3	XD	300952			
NDUFB3	Mitochondrial complex I deficiency	AR	252010			
NDUFB9	Mitochondrial complex I deficiency	AR	252010			
NDUFS1	Mitochondrial complex I deficiency	AR	252010			
NDUFS2	Mitochondrial complex I deficiency	AR	252010			
NDUFS3	Mitochondrial complex I deficiency	AR	252010			
NDUFS3	Leigh syndrome due to mitochondrial complex I deficiency	AR	256000			
NDUFS4	Mitochondrial complex I deficiency	AR	252010			
NDUFS4	Leigh syndrome	AR	256000			
NDUFS6	Mitochondrial complex I deficiency	AR	252010			
NDUFS7	Leigh syndrome	AR	256000			
NDUFS8	Leigh syndrome due to mitochondrial complex I deficiency	AR	256000			
NDUFV1	Mitochondrial complex I deficiency	AR	252010			
NDUFV2	Mitochondrial complex I deficiency	AR	252010			
NFS1	Mitochondrial complex II/III deficiency, infantile	AR		24498631		
NFU1	Multiple mitochondrial dysfunctions syndrome 1	AR	605711			
NNT	Glucocorticoid deficiency 4	AR	614736			
NUBPL	Mitochondrial complex I deficiency	AR	252010			
OAT	Gyrate atrophy of choroid and retina with or without ornithinemia	AR	258870			
OGDH	Alpha-ketoglutarate dehydrogenase deficiency	AR	203740			
OPA1	Behr syndrome	AR	210000			
OPA1	Mitochondrial DNA depletion syndrome 14 (encephalocardiomyopathic type)	AR	616896			
OPA3	3-methylglutaconic aciduria, type III	AR	258501			
OTC	Ornithine transcarbamylase deficiency	XR	311250			
OXCT1	Succinyl CoA:3-oxoacid CoA transferase deficiency	AR	245050			
PANK2	HARP syndrome	AR	607236			
PANK2	Neurodegeneration with brain iron accumulation 1	AR	234200			
PARS2	Combined oxidative phosphorylation deficiency, Alpers syndrome	AR		25629079;27290639		
PC	Pyruvate carboxylase deficiency	AR	266150			
PDHA1	Pyruvate dehydrogenase E1-alpha deficiency	XD	312170			
PDHB	Pyruvate dehydrogenase E1-beta deficiency	AR	614111			
PDHX	Leigh-like syndrome, Pyruvate dehydrogenase complex deficiency	AR	245349			
PDP1	Pyruvate dehydrogenase phosphatase deficiency	AR	608782			
PDPR	Joubert-like syndrome	AR		25558065		
PDSS1	Coenzyme Q10 deficiency, primary, 2	AR	614651			
PDSS2	Coenzyme Q10 deficiency, primary, 3	AR	614652			
PET100	Mitochondrial complex IV deficiency	AR	220110			
PITRM1	Progressive cognitive decline, spinocerebellar ataxia and psychosis	AR		26697887		
PMPCA	Spinocerebellar ataxia, autosomal recessive 2	AR	213200			
PNPLA2	Neutral lipid storage disease with myopathy	AR	610717			
PNPLA4	Combined oxidative phosphorylation deficiency	XR		26741492		
PNPLA6	Boucher-Neuhauser syndrome	AR	215470			
PNPLA6	Laurence-Moon syndrome	AR	245800			
PNPLA6	Spastic paraplegia 39, autosomal recessive	AR	612020			
PNPLA6	Oliver-McFarlane syndrome	AR	275400			
PNPT1	Combined oxidative phosphorylation deficiency 13	AR	614932			
POLG	Progressive external ophthalmoplegia, autosomal recessive 1	AR	258450			
POLG	Progressive external ophthalmoplegia, autosomal dominant 1	AD	157640			
POLG	Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE)	AR	607459			
POLG	Mitochondrial DNA depletion syndrome 4B (MNGIE type)	AR	613662			
POLG	Mitochondrial DNA depletion syndrome 4A (Alpers type)	AR	203700			
POLG2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4	AD	610131			
PTCD1	Mitochondrial complex I deficiency	AR		20818383;25058219		
PTRH2	Multisystem neurologic, endocrine, and pancreatic disease (IMNEPD), infantile	AR	616263	27129381		
PUS1	Myopathy, lactic acidosis, and sideroblastic anemia 1	AR	600462			
QARS	Microcephaly, progressive, seizures, and cerebral and cerebellar atrophy	AR	615760			
QRSL1	Combined oxidative phosphorylation deficiency, infantile lethal	AR		26741492		
RARS2	Pontocerebellar hypoplasia, type 6	AR	611523			
RMND1	Combined oxidative phosphorylation deficiency 11	AR	614922			
RNASEH1	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2	AR	616479			
RRM2B	Mitochondrial DNA depletion syndrome 8B (MNGIE type)	AR	612075			
RRM2B	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)	AR	612075			
RRM2B	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5	AD	613077			
SACS	Spastic ataxia, Charlevoix-Saguenay type	AR	270550			
SAMHD1	Aicardi-Goutieres syndrome 5	AR	612952			
SARS2	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis	AR	613845			
SCO1	Mitochondrial complex IV deficiency	AR	220110			
SCO2	Cardioencephalomyopathy, fatal infantile	AR	604377			
SDHA	Mitochondrial complex II deficiency	AR	252011			
SDHA	Leigh syndrome	AR	256000			
SDHAF1	Mitochondrial complex II deficiency	AR	252011			
SDHD	Mitochondrial complex II deficiency	AR	252011			
SERAC1	MEGDEL syndrome	AR	614739			
SFXN4	Combined oxidative phosphorylation deficiency 18	AR	615578			
SLC19A2	Thiamine-responsive megaloblastic anemia syndrome	AR	249270			
SLC19A3	Thiamine metabolism dysfunction syndrome 2	AR	607483			
SLC25A1	Hydroxyglutaric aciduria	AR	615182			
SLC25A1	Congenital myasthenia	AR		26870663		
SLC25A12	Hypomyelination, global cerebral	AR	612949			
SLC25A13	Citrullinemia, type II, neonatal-onset	AR	605814			
SLC25A13	Citrullinemia, adult-onset type II	AR	603471			
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome	AR	238970			
SLC25A19	Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type)	AR	613710			
SLC25A20	Carnitine-acylcarnitine translocase deficiency	AR	212138			
SLC25A22	Epileptic encephalopathy, early infantile, 3	AR	609304			
SLC25A26	Combined oxidative phosphorylation deficiency 28	AR	616794			
SLC25A3	Mitochondrial phosphate carrier deficiency	AR	610773			
SLC25A38	Anemia, sideroblastic, 2, pyridoxine-refractory	AR	205950			
SLC25A4	Mitochondrial DNA depletion syndrome 12 (cardiomyopathic type)	AR	615418			
SLC25A4	Progressive external ophthalmoplegia with mitochondrial DNA deletions	AD	609283			
SLC25A46	Neuropathy, hereditary motor and sensory, type VIB	AR	616505			
SLC25A46	Optic atrophy and cerebellar degeneration	AR		26951855		
SLC25A46	Charcot-Marie-Tooth disease, type 2, with optic atrophy	AR		26168012		
SUCLA2	Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria)	AR	612073			
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	AR	245400			
SURF1	Leigh syndrome	AR	256000			
SURF1	Charcot-Marie-Tooth disease, type 4K	AR	616684			
TACO1	Mitochondrial complex IV deficiency	AR	220110			
TARS2	Combined oxidative phosphorylation deficiency 21	AR	615918			
TAZ	Barth syndrome	XR	302060			
TIMM8A	Mohr-Tranebjaerg syndrome	XR	304700			
TK2	Mitochondrial DNA depletion syndrome 2 (myopathic type)	AR	609560			
TMEM126A	Optic atrophy 7, with auditory neuropathy	AR	612989			
TMEM70	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2	AR	614052			
TPK1	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type)	AR	614458			
TRIT1	Combined oxidative phosphorylation deficiency	AR		24901367		
TRMT5	Combined oxidative phosphorylation deficiency 26	AR	616539			
TRMU	Liver failure, transient infantile	AR	613070			
TRNT1	Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay	AR	616084			
TRNT1	Retinitis pigmentosa and erythrocytic microcytosis	AR	616959			
TSFM	Combined oxidative phosphorylation deficiency 3	AR	610505			
TTC19	Mitochondrial complex III deficiency, nuclear type 2	AR	615157			
TUFM	Combined oxidative phosphorylation deficiency 4	AR	610678			
TXN2	Combined oxidative phosphorylation deficiency 29	AR	616811			
TYMP	Mitochondrial DNA depletion syndrome 1 (MNGIE type)	AR	603041			
UQCC2	Mitochondrial complex III deficiency, nuclear type 7	AR	615824			
UQCRB	Mitochondrial complex III deficiency, nuclear type 3	AR	615158			
UQCRC2	Mitochondrial complex III deficiency, nuclear type 5	AR	615160			
UQCRQ	Mitochondrial complex III deficiency, nuclear type 4	AR	615159			
VARS2	Combined oxidative phosphorylation deficiency 20	AR	615917			
WDR45	Neurodegeneration with brain iron accululation 5	XD	300894			
WFS1	Wolfram-like syndrome, autosomal dominant	AD	614296			
WFS1	Wolfram syndrome	AR	222300			
WWOX	Epileptic encephalopathy, early infantile, 28	AR	616211			
WWOX	Spinocerebellar ataxia, autosomal recessive 12	AR	614322			
YARS2	Myopathy, lactic acidosis, and sideroblastic anemia 2	AR	613561			
