# Genepanel: Mitokon Version: 02 Date: 2016-08-18
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
3	43407817	43663560	NM_018075.3	0	-	ANO10	FLJ10375,MGC47890,SCAR10	ENSG00000160746	ENST00000292246	43408397	43647344	43407817,43474102,43591211,43596769,43602711,43607144,43616300,43618183,43621844,43640023,43641875,43647205,43663400	43408466,43474219,43591340,43596961,43602894,43607219,43616356,43618753,43621964,43640158,43642073,43647355,43663560
14	104029293	104058510	NM_032374.4	0	+	APOPT1	MGC2562,APOP-1	ENSG00000256053	ENST00000409074	104029299	104056623	104029293,104037959,104040443,104053610,104056517	104029461,104038157,104040507,104053701,104058510
9	32972603	33001639	NM_175073.2	0	-	APTX	FLJ20157,AOA,AOA1,EAOH,EOAHA	ENSG00000137074	ENST00000309615	32973495	32989889	32972603,32974455,32984628,32985968,32987541,32988076,32989756,32997240,33001564	32973650,32974559,32984855,32986028,32987840,32988127,32989893,32997346,33001639
18	43664109	43684199	NM_001001937.1	0	-	ATP5A1	ATP5A,hATP1,OMR,ORM	ENSG00000152234	ENST00000282050	43664247	43678197	43664109,43664469,43666078,43666352,43666973,43667306,43668074,43669531,43669788,43671647,43675018,43678137,43684102	43664329,43664620,43666223,43666460,43667198,43667458,43668223,43669698,43669962,43671817,43675097,43678245,43684199
20	57603732	57607422	NM_006886.3	0	-	ATP5E		ENSG00000124172	ENST00000243997	57605360	57607306	57603732,57605357,57607274	57603896,57605484,57607422
17	17921333	17942480	NM_145691.3	0	-	ATPAF2	Atp12p,ATP12,LP3663,MGC29736	ENSG00000171953	ENST00000474627	17921862	17942327	17921333,17924436,17925058,17927937,17929632,17931545,17931928,17942194	17922000,17924552,17925171,17928018,17929730,17931691,17931973,17942480
2	219524378	219528166	NM_004328.4	0	+	BCS1L	Hs.6719,BCS,h-BCS,BJS	ENSG00000074582	ENST00000392109	219525710	219528109	219524378,219524759,219525661,219526128,219526481,219526919,219527232,219527605,219527856	219524466,219524968,219526030,219526268,219526676,219526983,219527402,219527723,219528166
2	74362527	74375039	NM_212552.2	0	-	BOLA3		ENSG00000163170	ENST00000327428	74362719	74375001	74362527,74369398,74372315,74374947	74362785,74369487,74372430,74375039
10	102747292	102754158	NM_021830.4	0	+	C10orf2	PEO,PEO1,TWINKLE,FLJ21832,TWINL	ENSG00000107815	ENST00000311916	102747967	102753267	102747292,102749400,102750192,102750625,102752946	102749210,102749641,102750300,102750767,102754158
12	123717843	123742506	NM_152269.4	0	+	C12orf65	FLJ38663,SPG55	ENSG00000130921	ENST00000253233	123738221	123741578	123717843,123738193,123741359	123718078,123738503,123742506
19	30189792	30205963	NM_001031726.3	0	-	C19orf12	MGC10922,DKFZP762D096,NBIA4	ENSG00000131943	ENST00000392278	30193618	30205836	30189792,30199160,30205813	30193884,30199330,30205963
16	87921624	87970112	NM_001739.1	0	-	CA5A	CAV,CAVA	ENSG00000174990	ENST00000309893	87921734	87970056	87921624,87925404,87935517,87936030,87938391,87960353,87969914	87921878,87925560,87935580,87936126,87938510,87960551,87970112
13	111293756	111358480	NM_024537.2	0	-	CARS2	FLJ12118	ENSG00000134905	ENST00000257347	111293883	111358440	111293756,111294661,111296731,111298313,111299447,111303380,111315797,111319686,111329320,111335397,111340067,111340293,111353784,111357867,111358216	111293955,111294868,111296830,111298437,111299586,111303447,111315865,111319820,111329450,111335481,111340173,111340365,111353902,111357918,111358480
19	33369903	33462935	NM_032816.4	0	-	CEP89	FLJ14640	ENSG00000121289	ENST00000305768	33370067	33462780	33369903,33372749,33378657,33390762,33392150,33406242,33409129,33414344,33417095,33417839,33422334,33424356,33428536,33430762,33439171,33444520,33450805,33457265,33462741	33370284,33372919,33378747,33390904,33392318,33406423,33409245,33414448,33417179,33417890,33422477,33424575,33428579,33430791,33439274,33444707,33450964,33457372,33462935
22	24108020	24110159	NM_213720.2	0	-	CHCHD10	N27C7-4	ENSG00000250479	ENST00000401675	24108193	24110061	24108020,24108314,24109560,24110020	24108213,24108462,24109780,24110159
22	51017386	51021428	NM_005198.4	0	-	CHKB	CHETK	ENSG00000100288	ENST00000406938	51017609	51021210	51017386,51017854,51018155,51018402,51018618,51018786,51018993,51019848,51020177,51020677,51020986	51017684,51017936,51018259,51018511,51018700,51018845,51019089,51019982,51020291,51020786,51021428
4	103790134	103813963	NM_001008388.4	0	+	CISD2	Miner1,ERIS,NAF-1	ENSG00000145354	ENST00000273986	103790241	103808587	103790134,103806372,103808497	103790344,103806587,103813963
11	72003469	72145724	NM_001258394.1	0	-	CLPB	HSP78,SKD3,FLJ13152,ANKCLB	ENSG00000162129	ENST00000294053	72004410	72145276	72003469,72005065,72005368,72005663,72006535,72012846,72013347,72018242,72019570,72028149,72040750,72069923,72083968,72091324,72114009,72119141,72141355,72145115	72004659,72005170,72005488,72005737,72006692,72013008,72013392,72018298,72019648,72028264,72040848,72070052,72084058,72091428,72114096,72119248,72141407,72145724
19	6361462	6368915	NM_006012.2	0	+	CLPP		ENSG00000125656	ENST00000245816	6361585	6368721	6361462,6361879,6362456,6364462,6366268,6368548	6361783,6361951,6362553,6364650,6366374,6368915
17	40949635	40950743	NM_001040431.2	0	-	COA3	HSPC009,MITRAC12	ENSG00000183978	ENST00000328434	40950078	40950699	40949635,40950485	40950185,40950743
2	99215785	99224981	NM_001008215.2	0	-	COA5	MGC52110,FLJ27524,Pet191	ENSG00000183513	ENST00000328709	99217214	99224868	99215785,99220570,99224769	99217256,99220654,99224981
1	234509182	234519795	NM_001206641.2	0	+	COA6		ENSG00000168275	ENST00000366615	234509212	234519564	234509182,234509975,234519468	234509424,234510135,234519795
17	40714091	40718299	NM_025233.6	0	+	COASY	DPCK,NBP,CoASY,PPAT	ENSG00000068120	ENST00000393818	40714640	40717986	40714091,40715978,40716463,40716726,40717000,40717244,40717488,40717676,40717923	40715340,40716193,40716595,40716916,40717065,40717329,40717586,40717823,40718299
4	84184976	84206067	NM_015697.7	0	-	COQ2	CL640,FLJ26072	ENSG00000173085	ENST00000311469	84185351	84206067	84184976,84188738,84191012,84193239,84194648,84200100,84205664	84185516,84188927,84191146,84193325,84194770,84200267,84206067
9	131084790	131096351	NM_016035.3	0	+	COQ4	CGI-92	ENSG00000167113	ENST00000300452	131085137	131095924	131084790,131085294,131087421,131088057,131094431,131095128,131095752	131085207,131085426,131087518,131088160,131094561,131095222,131096351
14	74416954	74429813	NM_182476.2	0	+	COQ6	CGI-10	ENSG00000119723	ENST00000334571	74417035	74429702	74416954,74420137,74422153,74422507,74424849,74425673,74425864,74426117,74427875,74428157,74428439,74429672	74417198,74420272,74422212,74422631,74424980,74425781,74425927,74426225,74428078,74428273,74428606,74429813
16	57481336	57495187	NM_020312.3	0	+	COQ9	DKFZP434K046	ENSG00000088682	ENST00000262507	57481417	57494536	57481336,57484951,57486712,57490415,57490842,57492157,57493476,57493962,57494500	57481490,57485120,57486848,57490558,57490927,57492262,57493632,57494016,57495187
17	13972718	14111996	NM_001303.3	0	+	COX10		ENSG00000006695	ENST00000261643	13972922	14110530	13972718,13977639,13980051,14005434,14063193,14095305,14110126	13972965,13977773,13980373,14005559,14063264,14095538,14111996
12	50505763	50514240	NM_032901.3	0	+	COX14	MGC14288	ENSG00000178449	ENST00000550487	50513826	50514000	50505763,50513818	50506084,50514240
10	101468504	101492423	NM_004376.5	0	-	COX15	CEMCOX2	ENSG00000014919	ENST00000370483	101473170	101491806	101468504,101476104,101478102,101480743,101483712,101486724,101487197,101489309,101491716	101473236,101476218,101478257,101480825,101483880,101486911,101487320,101489491,101492423
1	244998638	245008359	NM_198076.4	0	+	COX20	FLJ43269	ENSG00000203667	ENST00000411948	244999016	245006478	244998638,245005245,245005496,245006342	244999058,245005360,245005560,245008359
20	30225690	30232800	NM_032609.2	0	+	COX4I2	COXIV-2,COX4B,dJ857M17.2,COX4-2	ENSG00000131055	ENST00000376075	30226820	30232707	30225690,30226820,30227735,30231206,30232570	30225765,30226902,30227900,30231338,30232800
12	120875892	120878545	NM_004373.3	0	+	COX6A1		ENSG00000111775	ENST00000229379	120875929	120878340	120875892,120876181,120878256	120876032,120876324,120878545
19	36139124	36149686	NM_001863.4	0	+	COX6B1	COXG	ENSG00000126267	ENST00000246554	36142145	36149549	36139124,36142134,36145472,36149495	36139305,36142251,36145573,36149686
X	77154960	77160881	NM_001866.2	0	+	COX7B		ENSG00000131174	ENST00000481445	77155050	77160758	77154960,77158139,77160680	77155090,77158264,77160881
11	63742078	63744015	NM_004074.2	0	+	COX8A	COX8-2,COX8L,VIII-L,COX,VIII	ENSG00000176340	ENST00000314133	63742152	63743792	63742078,63743696	63742266,63744015
8	145149937	145152430	NM_001916.4	0	+	CYC1	UQCR4	ENSG00000179091	ENST00000318911	145150002	145152239	145149937,145150735,145151026,145151239,145151486,145151936,145152134	145150131,145150932,145151153,145151397,145151647,145152037,145152430
2	136663450	136743254	NM_001349.3	0	-	DARS		ENSG00000115866	ENST00000264161	136664885	136743038	136663450,136668708,136668951,136670055,136672038,136673795,136678022,136680353,136681956,136690352,136691479,136700947,136718965,136736843,136740966,136742972	136664977,136668780,136669063,136670136,136672081,136673942,136678170,136680488,136682068,136690412,136691560,136701050,136719068,136736936,136741024,136743254
1	173793796	173827682	NM_018122.4	0	+	DARS2	FLJ10514	ENSG00000117593	ENST00000361951	173794367	173826843	173793796,173795824,173797470,173799797,173800672,173802513,173803610,173806077,173807327,173808504,173810003,173814366,173819464,173822486,173822932,173825803,173826655	173794494,173795924,173797537,173799899,173800768,173802637,173803657,173806184,173807397,173808684,173810111,173814429,173819617,173822705,173823043,173825879,173827682
2	172290760	172341562	NM_025000.3	0	+	DCAF17	FLJ13096	ENSG00000115827	ENST00000375255	172291087	172337624	172290760,172291592,172300032,172305190,172306388,172309633,172314480,172314881,172325397,172330375,172333369,172334496,172336547,172337483	172291213,172291696,172300123,172305327,172306467,172309723,172314585,172314987,172325540,172330485,172333460,172334580,172336703,172341562
2	74153952	74186088	NM_080916.2	0	+	DGUOK	dGK	ENSG00000114956	ENST00000264093	74154037	74185863	74153952,74166036,74173845,74177711,74184251,74185272,74185836	74154179,74166149,74174033,74177859,74184367,74185372,74186088
10	12110915	12165227	NM_018706.6	0	+	DHTKD1	KIAA1630,MGC3090,DKFZP762M115,CMT2Q	ENSG00000181192	ENST00000263035	12111032	12162887	12110915,12123470,12126538,12129533,12130984,12133511,12136071,12139682,12142176,12143040,12148244,12149907,12154898,12159671,12160747,12162180,12162785	12111186,12123626,12126750,12129728,12131254,12133683,12136270,12139995,12142261,12143180,12148395,12150014,12155063,12159754,12160917,12162266,12165227
11	111895537	111935002	NM_001931.4	0	+	DLAT	PDC-E2	ENSG00000150768	ENST00000280346	111896196	111933259	111895537,111896921,111899238,111899515,111904127,111907996,111909967,111914189,111915861,111916586,111921957,111930626,111931761,111933129	111896475,111897023,111899363,111899669,111904254,111908184,111910121,111914257,111915954,111916694,111922073,111930789,111931898,111935002
7	107531551	107561643	NM_000108.4	0	+	DLD	DLDH	ENSG00000091140	ENST00000205402	107531695	107559704	107531551,107533644,107542182,107542769,107543922,107545402,107545805,107546711,107555950,107557238,107557717,107558368,107559454,107559638	107531734,107533723,107542262,107542838,107543992,107545503,107545949,107546813,107556141,107557409,107557907,107558506,107559544,107561643
10	70173820	70231730	NM_001080449.2	0	-	DNA2	KIAA0083	ENSG00000138346	ENST00000358410	70174795	70231621	70173820,70176463,70178790,70179559,70181981,70182271,70182453,70190192,70191613,70191962,70192150,70196767,70202673,70204677,70206052,70209784,70218860,70225423,70227879,70229737,70231547	70174862,70176612,70178970,70179649,70182186,70182361,70182647,70190412,70191728,70192072,70192267,70196998,70202868,70204840,70206170,70210004,70218992,70225569,70228063,70229920,70231730
3	180701497	180707562	NM_145261.3	0	-	DNAJC19	TIMM14,Tim14,Pam18	ENSG00000205981	ENST00000382564	180702427	180707390	180701497,180703713,180704730,180705810,180705965,180707387	180702498,180703784,180704810,180705884,180706017,180707562
12	32832133	32898584	NM_012062.4	0	+	DNM1L	DRP1,DVLP,HDYNIV,DYMPLE,VPS1	ENSG00000087470	ENST00000452533	32832297	32896344	32832133,32854348,32860300,32861086,32863862,32866142,32871576,32873597,32875360,32883947,32884289,32884787,32886648,32890038,32890798,32891197,32892997,32893342,32895522,32896287	32832399,32854496,32860347,32861158,32863949,32866305,32871697,32873729,32875567,32884068,32884445,32884877,32886741,32890095,32890876,32891230,32893174,32893452,32895682,32898584
16	23533333	23568696	NM_001083614.1	0	-	EARS2	KIAA1970,MSE1	ENSG00000103356	ENST00000449606	23535691	23568664	23533333,23536564,23540822,23541064,23543977,23546208,23555834,23563469,23568525	23535775,23536700,23540953,23541218,23544086,23546681,23556024,23563625,23568696
10	135175986	135186908	NM_004092.3	0	-	ECHS1	SCEH	ENSG00000127884	ENST00000368547	135176371	135186837	135175986,135178161,135179479,135180392,135182426,135183407,135184063,135186749	135176437,135178229,135179599,135180497,135182526,135183535,135184261,135186908
17	12894928	12921381	NM_018127.6	0	-	ELAC2	FLJ10530,HPC2	ENSG00000006744	ENST00000338034	12896134	12921264	12894928,12897003,12897741,12898080,12898279,12899019,12899256,12899863,12901728,12903472,12905590,12905757,12906795,12908305,12909069,12909237,12913929,12914979,12916523,12917755,12919084,12920178,12920387,12921019	12896362,12897148,12897820,12898201,12898379,12899129,12899295,12900002,12901825,12903591,12905676,12905896,12906891,12908418,12909142,12909296,12913988,12915099,12916592,12917813,12919149,12920249,12920438,12921381
18	43427573	43547305	NM_020964.2	0	-	EPG5	hEPG5	ENSG00000152223	ENST00000282041	43432431	43547205	43427573,43435537,43437817,43438530,43440068,43445579,43446762,43447527,43450531,43456200,43458340,43458977,43460039,43462238,43464581,43467715,43469762,43479368,43480960,43483937,43487922,43490485,43492254,43493670,43495475,43495973,43496402,43497643,43502306,43503233,43505703,43508834,43510641,43514774,43519565,43523126,43523970,43526628,43528468,43529449,43531067,43532365,43534359,43547142	43432614,43435652,43438033,43438747,43440311,43445724,43446972,43447713,43450707,43456307,43458413,43459179,43460188,43462452,43464776,43467872,43469905,43479531,43481132,43484082,43488046,43490707,43492421,43493793,43495586,43496171,43496547,43497784,43502566,43503353,43505868,43508975,43510796,43514932,43519721,43523277,43524085,43526734,43528542,43529557,43531204,43532609,43535304,43547305
19	44010870	44031396	NM_014297.3	0	-	ETHE1	YF13H12,HSCO	ENSG00000105755	ENST00000292147	44011001	44031329	44010870,44012095,44012926,44015588,44030352,44030666,44031248	44011054,44012212,44013016,44015718,44030501,44030811,44031396
6	5261583	5771816	NM_006567.3	0	+	FARS2	dJ236A3.1	ENSG00000145982	ENST00000274680	5368803	5771662	5261583,5368782,5404774,5431273,5545412,5613401,5771523	5261893,5369415,5404934,5431405,5545573,5613553,5771816
2	207630111	207660911	NM_014929.3	0	+	FASTKD2		ENSG00000118246	ENST00000236980	207631417	207656526	207630111,207631367,207634814,207635905,207636617,207636904,207638948,207651456,207652660,207653542,207655295,207656406	207630378,207632194,207634918,207636014,207636741,207637044,207639121,207651623,207652879,207653627,207655410,207660911
6	99321600	99395882	NM_012160.4	0	-	FBXL4	FBL4,FBL5	ENSG00000112234	ENST00000229971	99322153	99374864	99321600,99323290,99328428,99347143,99353301,99365249,99374352,99375580,99395681	99322317,99323603,99328500,99347357,99353546,99365595,99374936,99375698,99395882
19	10420886	10426691	NM_001031734.3	0	-	FDX1L		ENSG00000267673	ENST00000393708	10421161	10426681	10420886,10421528,10426061,10426380,10426527	10421318,10421616,10426168,10426435,10426691
11	126138934	126148027	NM_017547.3	0	+	FOXRED1	H17	ENSG00000110074	ENST00000263578	126139101	126147584	126138934,126141331,126142863,126143230,126144821,126145221,126145688,126145953,126146288,126146965,126147329	126139186,126141552,126142974,126143349,126144916,126145323,126145765,126146114,126146418,126147070,126148027
19	49468565	49470136	NM_000146.3	0	+	FTL	MGC71996,NBIA3	ENSG00000087086	ENST00000331825	49468764	49469992	49468565,49469026,49469537,49469839	49468866,49469173,49469663,49470136
7	30634180	30673648	NM_002047.2	0	+	GARS	GlyRS,DSMAV,SMAD1	ENSG00000106105	ENST00000389266	30634537	30673476	30634180,30638411,30639562,30640674,30642649,30643111,30649200,30651711,30655511,30656729,30661008,30661932,30665849,30668175,30671063,30671862,30673350	30634759,30638513,30639665,30640816,30642738,30643188,30649346,30651861,30655674,30656894,30661116,30662078,30665935,30668285,30671157,30672053,30673648
8	75262617	75279335	NM_018972.2	0	+	GDAP1	CMT4,CMT2K	ENSG00000104381	ENST00000220822	75262696	75276602	75262617,75263508,75272371,75274118,75275173,75276219	75262813,75263701,75272545,75274213,75275288,75279335
16	2034149	2037750	NM_005262.2	0	+	GFER	HSS,ERV1,ALR,HERV1,HPO1,HPO2	ENSG00000127554	ENST00000248114	2034219	2036029	2034149,2034747,2035866	2034477,2034944,2037750
3	158362316	158410360	NM_024996.5	0	+	GFM1	EFGM,GFM,EGF1	ENSG00000168827	ENST00000486715	158362423	158409256	158362316,158363417,158363953,158364531,158366829,158369884,158371098,158372335,158376710,158378662,158380416,158383125,158384092,158399783,158402312,158407951,158408927,158409124	158362504,158363570,158364086,158364736,158366946,158370035,158371256,158372420,158376848,158378764,158380473,158383263,158384175,158399946,158402457,158408112,158408981,158410360
5	74017028	74063196	NM_032380.4	0	-	GFM2	EFG2,FLJ21661	ENSG00000164347	ENST00000296805	74017479	74059567	74017028,74018203,74021464,74021765,74026084,74028846,74032620,74034142,74034326,74035813,74037353,74041502,74041929,74043516,74046403,74047192,74054673,74055193,74056726,74059504,74062762	74017608,74018386,74021580,74021951,74026223,74028923,74032810,74034242,74034467,74035962,74037434,74041682,74041990,74043605,74046492,74047318,74054771,74055251,74056811,74059591,74063196
14	96001322	96011055	NM_016417.2	0	+	GLRX5	PR01238,GRX5	ENSG00000182512	ENST00000331334	96001426	96010462	96001322,96010283	96001721,96011055
10	88809958	88854776	NM_005271.3	0	-	GLUD1	GDH	ENSG00000148672	ENST00000277865	88811507	88854526	88809958,88813098,88817447,88818906,88819917,88820444,88820671,88822412,88827819,88834307,88835724,88836332,88854081	88811627,88813161,88817539,88819030,88819998,88820582,88820809,88822592,88827914,88834371,88835780,88836413,88854776
19	17448325	17453540	NM_133644.3	0	+	GTPBP3	MSS1,THDF1,GTPBG3,MTGP1,FLJ14700	ENSG00000130299	ENST00000324894	17448420	17452512	17448325,17448816,17449173,17449347,17449762,17450242,17451852,17452286	17448473,17449064,17449260,17449550,17450075,17450408,17452131,17453540
5	140071010	140078903	NM_012208.3	0	+	HARS2	HO3,HARSR	ENSG00000112855	ENST00000230771	140071233	140078137	140071010,140073175,140073519,140073769,140075092,140075322,140075687,140076105,140076527,140076748,140077153,140077516,140078077	140071341,140073250,140073639,140073865,140075218,140075430,140075786,140076199,140076655,140076991,140077270,140077663,140078903
X	11129405	11141204	NM_005333.4	0	+	HCCS	CCHL	ENSG00000004961	ENST00000321143	11130180	11139930	11129405,11130138,11132954,11135386,11136620,11139026,11139731	11129638,11130280,11133106,11135535,11136740,11139113,11141204
2	191069359	191184771	NM_014362.3	0	-	HIBCH		ENSG00000198130	ENST00000359678	191069842	191184476	191069359,191073605,191077681,191109612,191110879,191114365,191116887,191125881,191152311,191155130,191159271,191161538,191175479,191184441	191069958,191073639,191077801,191109694,191110938,191114452,191117033,191125960,191152364,191155211,191159356,191161679,191175522,191184771
21	38123188	38362545	NM_000411.6	0	-	HLCS	HCS	ENSG00000159267	ENST00000336648	38126546	38311183	38123188,38128842,38132027,38137312,38139518,38269159,38302550,38308748,38311131,38318308,38334335,38362457	38126718,38129056,38132142,38137473,38139586,38269431,38302733,38309692,38311294,38318454,38334470,38362545
5	137890570	137911318	NM_004134.6	0	-	HSPA9	GRP75,PBP74,mot-2,mthsp75	ENSG00000113013	ENST00000297185	137891725	137911007	137890570,137892140,137892462,137893090,137893557,137894241,137895552,137897268,137902314,137902689,137903143,137903337,137904613,137906648,137909451,137909756,137910926	137891803,137892281,137892555,137893185,137893675,137894346,137895780,137897478,137902407,137902852,137903250,137903411,137904738,137906830,137909539,137909815,137911318
2	198351307	198364640	NM_002156.4	0	-	HSPD1	GroEL,HSP60	ENSG00000144381	ENST00000388968	198351769	198363572	198351307,198352581,198353040,198353725,198354920,198358047,198358880,198359380,198360017,198361863,198363398,198364505	198351922,198352760,198353215,198353971,198355020,198358216,198358974,198359476,198360100,198362116,198363574,198364640
1	220267454	220321383	NM_018060.3	0	+	IARS2	FLJ10326	ENSG00000067704	ENST00000302637	220267558	220320977	220267454,220269445,220273831,220275470,220275704,220275836,220276028,220276788,220279232,220280402,220284127,220287655,220298578,220300091,220307743,220310150,220311259,220312349,220313524,220315144,220316285,220318850,220320834	220267825,220269568,220273991,220275619,220275754,220275946,220276119,220276904,220279402,220280493,220284279,220287816,220298681,220300185,220307852,220310253,220311385,220312481,220313631,220315290,220316476,220318995,220321383
1	228353428	228369958	NM_001010867.2	0	+	IBA57	FLJ12734	ENSG00000181873	ENST00000366711	228353517	228363214	228353428,228362392,228362822	228353858,228362730,228369958
15	90627210	90645786	NM_002168.3	0	-	IDH2		ENSG00000182054	ENST00000330062	90627497	90645622	90627210,90628047,90628232,90628506,90630343,90630670,90631590,90631818,90633710,90634784,90645507	90627585,90628140,90628330,90628619,90630495,90630807,90631734,90631979,90633876,90634876,90645786
14	74960422	74962271	NM_194279.3	0	+	ISCA2	ISA2	ENSG00000165898	ENST00000556816	74960477	74961703	74960422,74960752,74960977,74961528	74960548,74960855,74961093,74962271
12	108955238	108963160	NM_213595.3	0	+	ISCU	ISU2,hnifU,IscU	ENSG00000136003	ENST00000311893	108956398	108962692	108955238,108958054,108959096,108960965,108962606	108956512,108958168,108959207,108961044,108963160
16	75661621	75681585	NM_001130089.1	0	-	KARS	KARS2,KARS1	ENSG00000065427	ENST00000319410	75661792	75678326	75661621,75662466,75663312,75664320,75665065,75665313,75665590,75668070,75669577,75669809,75670351,75674081,75675461,75678180,75681475	75661891,75662610,75663439,75664406,75665151,75665487,75665753,75668190,75669703,75669996,75670445,75674247,75675621,75678360,75681585
3	45430074	45590328	NM_015340.3	0	+	LARS2	KIAA0028,LEURS,MGC26121,mtLeuRS	ENSG00000011376	ENST00000265537	45435945	45589022	45430074,45433074,45435924,45441736,45458973,45461160,45488382,45500234,45515734,45517959,45527183,45530188,45533008,45537766,45541933,45554626,45557585,45559394,45561710,45565488,45583320,45588842	45430172,45433140,45436179,45441865,45459065,45461221,45488472,45500378,45515842,45518119,45527288,45530304,45533292,45537865,45542071,45554727,45557768,45559564,45561788,45565600,45583448,45590328
4	39460643	39479271	NM_006859.3	0	+	LIAS	LAS	ENSG00000121897	ENST00000261434	39460737	39478735	39460643,39462409,39463815,39465144,39466665,39466904,39469137,39471638,39472855,39474719,39478682	39460782,39462582,39463909,39465225,39466822,39466962,39469266,39471784,39472926,39474831,39479271
2	99771417	99779613	NM_145199.2	0	+	LIPT1	MGC12290,MGC13378	ENSG00000144182	ENST00000393471	99778420	99779542	99771417,99778419	99771514,99779613
19	5691844	5720463	NM_001276480.1	0	-	LONP1	LonHS,hLON,PIM1	ENSG00000196365	ENST00000540670	5692042	5713194	5691844,5693308,5693562,5694397,5694771,5696064,5696259,5696680,5699037,5700799,5705782,5707070,5707707,5708352,5711781,5713144,5714193,5720229	5692219,5693473,5693780,5694563,5694912,5696181,5696382,5696768,5699216,5700938,5706003,5707154,5707837,5708414,5712013,5713264,5714282,5720463
