# Genepanel: CortikalMalf Version: 02 Date: 2016-06-21        Post-processed: 2016-06-30 Removed genes: 2016-10-24
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
TUBB	Symmetric circumferential skin creases, congenital, 1	AD	156610			
TUBB	Cortical dysplasia, complex, with other brain malformations 6	AD	615771			
TUBB4A	Leukodystrophy, hypomyelinating, 6	AD	612438			
TUBG1	Cortical dysplasia, complex, with other brain malformations 4	AD	615412			
TUBGCP4	Microcephaly and chorioretinopathy, autosomal recessive, 3	AR	616335			
TUBGCP6	Microcephaly and chorioretinopathy, autosomal recessive, 1	AR	251270			
VLDLR	Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1	AR	224050			
VPS13B	Cohen syndrome	AR	216550			
VPS53	Pontocerebellar hypoplasia, type 2E	AR	615851			
VRK1	Pontocerebellar hypoplasia type 1A	AR	607596			
WDR62	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations	AR	604317			
