# Genepanel: CortikalMalf Version: 02 Date: 2016-06-22 Post-processed: 2016-06-30 Genes removed: 2016-10-24
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
7	145813452	148118088	NM_014141.5	0	+	CNTNAP2	Caspr2,KIAA0868,NRXN4	ENSG00000174469	ENST00000361727	145813968	148112708	145813452,146471362,146536802,146740998,146805238,146818070,146825784,146829336,146997232,147092700,147183026,147259229,147336197,147600656,147674953,147815209,147844582,147869333,147914379,147926737,147964124,148080740,148106482,148112508	145814065,146471473,146536996,146741146,146805442,146818255,146825928,146829601,146997382,147092872,147183133,147259349,147336398,147600813,147675081,147815380,147844801,147869570,147914616,147926871,147964218,148080980,148106563,148118088
21	46825051	46933634	NM_130445.3	0	+	COL18A1	KS,KNO1	ENSG00000182871	ENST00000400337	46825145	46932312	46825051,46825293,46888155,46893808,46895389,46896264,46897324,46897663,46898240,46899815,46899983,46900380,46900613,46901876,46902708,46906774,46907360,46908331,46909399,46910188,46910749,46911138,46912448,46912600,46913076,46913414,46914458,46914775,46915271,46916413,46916963,46917512,46923924,46924329,46924435,46925047,46925271,46925751,46927474,46929269,46929977,46931024,46932101	46825156,46825388,46888700,46893895,46895449,46896394,46897401,46897879,46898267,46899878,46900070,46900434,46900772,46901939,46902735,46906906,46907423,46908358,46909435,46910260,46910785,46911228,46912478,46912627,46913139,46913489,46914485,46914829,46915346,46916482,46917006,46917575,46923968,46924426,46924470,46925192,46925345,46925880,46927507,46929515,46930175,46931140,46933634
13	110801304	110959504	NM_001845.5	0	-	COL4A1		ENSG00000187498	ENST00000375820	110802709	110959374	110801304,110804680,110807629,110813538,110814576,110815809,110817208,110818578,110819504,110821975,110822893,110825066,110826246,110826792,110826969,110827564,110828770,110828972,110829231,110830188,110830410,110831269,110831617,110833638,110835339,110835530,110838731,110839484,110844560,110845176,110847369,110850813,110853200,110853784,110855912,110857699,110857840,110859011,110859211,110859749,110861195,110861738,110862326,110862475,110863993,110864215,110864763,110864920,110866128,110866272,110895021,110959290	110802791,110804853,110807744,110813716,110814789,110815908,110817337,110818650,110819577,110822109,110823079,110825117,110826345,110826873,110827096,110827704,110828860,110829071,110829384,110830278,110830578,110831383,110831768,110833736,110835444,110835623,110838900,110839676,110844631,110845260,110847465,110850978,110853236,110853869,110855954,110857753,110857885,110859062,110859238,110859836,110861237,110861774,110862389,110862559,110864020,110864269,110864826,110864965,110866173,110866362,110895081,110959504
13	110959630	111165373	NM_001846.2	0	+	COL4A2	FLJ22259,DKFZp686I14213	ENSG00000134871	ENST00000360467	110960250	111164538	110959630,110960206,110960415,111009818,111077080,111077299,111080813,111082231,111082747,111082891,111084671,111086747,111088615,111090348,111090964,111092135,111098175,111099144,111102025,111102651,111109689,111111117,111114460,111114624,111117751,111118349,111119386,111121563,111125275,111130349,111132566,111134862,111137251,111138001,111141791,111142057,111143579,111144416,111145557,111147688,111154014,111155467,111155729,111156193,111156494,111158761,111160281,111164280	110959875,110960294,110960470,111009899,111077215,111077344,111080930,111082303,111082783,111082954,111084707,111086789,111088714,111090384,111091015,111092180,111098229,111099211,111102136,111102801,111109782,111111281,111114533,111114731,111117953,111118409,111119443,111121671,111125497,111130511,111132737,111135006,111137374,111138183,111141855,111142132,111143687,111144524,111145629,111147814,111154131,111155629,111155828,111156340,111156611,111158953,111160568,111165373
9	126118445	126141034	NM_173689.6	0	+	CRB2	FLJ38464,FLJ16786	ENSG00000148204	ENST00000373631	126118539	126139341	126118445,126125143,126128195,126128505,126129450,126129851,126132386,126133348,126134455,126135412,126136857,126137495,126139116	126118633,126125467,126128391,126128645,126129636,126129965,126133259,126133857,126134621,126136199,126136974,126137622,126141034
X	119658445	119709684	NM_003588.3	0	-	CUL4B		ENSG00000158290	ENST00000404115	119660615	119708472	119658445,119663956,119666276,119668335,119669684,119670781,119671978,119672514,119673122,119674224,119675456,119676820,119677581,119677968,119678335,119679298,119680401,119680990,119691778,119693937,119708405,119709260	119660711,119664109,119666449,119668441,119669798,119670889,119672064,119672625,119673227,119674417,119675575,119676888,119677664,119678058,119678498,119679372,119680471,119681094,119691894,119694480,119708485,119709684
3	49507564	49573051	NM_004393.5	0	+	DAG1	A3a,156DAG,AGRNR,DAG	ENSG00000173402	ENST00000308775	49547967	49570632	49507564,49547851,49568229	49507866,49548252,49573051
11	6642554	6677080	NM_003737.3	0	-	DCHS1	FIB1,KIAA1773,FLJ11790,CDHR6	ENSG00000166341	ENST00000299441	6643009	6662844	6642554,6645960,6646428,6646827,6647150,6647399,6647782,6648019,6649851,6650682,6650902,6651229,6652283,6652541,6652846,6653261,6654642,6655019,6655348,6661047,6676793	6645621,6646099,6646712,6646958,6647305,6647611,6647896,6648898,6650061,6650808,6651142,6652094,6652441,6652638,6653040,6654287,6654879,6655251,6655537,6662964,6677080
X	110537006	110655460	NM_178153.2	0	-	DCX	SCLH,DC,LISX,DBCN,XLIS	ENSG00000077279	ENST00000356915	110544914	110653626	110537006,110555869,110574146,110576278,110644217,110653262,110655365	110544971,110555964,110574269,110576381,110644558,110653648,110655460
22	32150008	32303020	NM_001242896.1	0	+	DEPDC5	KIAA0645,DEP.5	ENSG00000100150	ENST00000382112	32150907	32302483	32150008,32150847,32154531,32156641,32160960,32162570,32164799,32174084,32179892,32180799,32188018,32188730,32193585,32194567,32198689,32200147,32200827,32202107,32205596,32206506,32210977,32215007,32217487,32218678,32229900,32232957,32234670,32239080,32239630,32241003,32242819,32253430,32257353,32266575,32269240,32270258,32272142,32275510,32289567,32293467,32297727,32301969,32302190	32150150,32150965,32154619,32156688,32161046,32162654,32164849,32174154,32179971,32180861,32188088,32188803,32193689,32194642,32198824,32200209,32200901,32202177,32205633,32206627,32211198,32215211,32217623,32218776,32229966,32233141,32234831,32239198,32239798,32241223,32242953,32253539,32257419,32266730,32269318,32270391,32272251,32275738,32289737,32293639,32297788,32302052,32303020
X	153991016	154005964	NM_001363.4	0	+	DKC1	XAP101,dyskerin,NAP57,NOLA4,Cbf5	ENSG00000130826	ENST00000369550	153991240	154005142	153991016,153993173,153993718,153994181,153994490,153995271,153995530,153996576,153997441,153999033,154001405,154002876,154003469,154004461,154005073	153991256,153993241,153993805,153994273,153994675,153995336,153995657,153996707,153997585,153999154,154001524,154002980,154003548,154004599,154005964
2	25455829	25565459	NM_175629.2	0	-	DNMT3A		ENSG00000119772	ENST00000264709	25457147	25536853	25455829,25458575,25459804,25461998,25463170,25463508,25464430,25466766,25467023,25467408,25468121,25468888,25469028,25469488,25469919,25470459,25470905,25497809,25498368,25505309,25523007,25536781,25565298	25457289,25458694,25459874,25462084,25463319,25463599,25464576,25466851,25467207,25467521,25468201,25468933,25469178,25469645,25470027,25470618,25471121,25497956,25498412,25505580,25523112,25537030,25565459
14	102430864	102517135	NM_001376.4	0	+	DYNC1H1	Dnchc1,HL-3,p22,DHC1,CMT2O	ENSG00000197102	ENST00000360184	102431028	102516900	102430864,102442048,102445655,102446055,102446700,102449355,102449718,102452023,102453789,102455039,102457863,102460520,102461009,102461322,102461517,102463371,102466325,102466622,102467290,102467481,102467871,102468873,102469128,102470854,102471098,102471378,102472224,102473344,102474514,102476179,102476612,102477076,102478211,102478650,102481441,102482192,102482685,102483102,102483424,102483719,102484787,102486229,102489087,102492910,102493510,102493719,102493955,102494273,102495875,102496155,102496498,102498608,102499401,102499605,102500312,102500661,102502825,102504796,102505034,102505337,102505748,102505974,102506572,102506934,102507910,102508349,102508564,102508720,102508971,102510211,102510610,102510931,102514153,102514852,102515776,102516050,102516407,102516771	102431284,102442136,102445829,102446311,102446887,102449627,102449946,102453100,102453969,102455189,102458010,102460661,102461186,102461433,102461637,102463611,102466481,102466736,102467401,102467691,102468018,102469040,102469302,102471020,102471287,102471573,102472507,102473445,102474674,102476423,102476796,102477289,102478450,102478807,102481669,102482423,102482826,102483336,102483631,102483841,102484953,102486393,102489217,102493044,102493625,102493881,102494170,102494478,102496049,102496275,102496619,102498804,102499519,102499821,102500525,102500789,102502979,102504943,102505185,102505591,102505883,102506069,102506747,102507010,102508071,102508461,102508625,102508844,102509085,102510382,102510828,102511035,102514365,102515006,102515919,102516219,102516535,102517135
12	7079943	7085165	NM_006331.7	0	+	EMG1	C2F,NEP1,Grcc2f	ENSG00000126749	ENST00000261406	7080086	7084971	7079943,7080212,7083500,7083713,7084251,7084390,7084857	7080211,7080253,7083602,7083855,7084310,7084540,7085165
14	100259744	100408395	NM_004434.2	0	+	EML1	EMAP,HuEMAP,ELP79	ENSG00000066629	ENST00000262233	100259813	100406449	100259744,100317189,100331850,100344821,100357535,100360965,100363481,100364569,100367265,100373974,100375681,100376578,100377758,100380515,100380902,100384118,100387125,100402365,100402583,100404153,100405533,100406323	100259880,100317372,100331983,100344956,100357564,100361095,100363631,100364639,100367376,100374070,100375816,100376678,100377913,100380641,100381034,100384186,100387214,100402463,100402671,100404249,100405664,100408395
18	43427573	43547305	NM_020964.2	0	-	EPG5	hEPG5	ENSG00000152223	ENST00000282041	43432431	43547205	43427573,43435537,43437817,43438530,43440068,43445579,43446762,43447527,43450531,43456200,43458340,43458977,43460039,43462238,43464581,43467715,43469762,43479368,43480960,43483937,43487922,43490485,43492254,43493670,43495475,43495973,43496402,43497643,43502306,43503233,43505703,43508834,43510641,43514774,43519565,43523126,43523970,43526628,43528468,43529449,43531067,43532365,43534359,43547142	43432614,43435652,43438033,43438747,43440311,43445724,43446972,43447713,43450707,43456307,43458413,43459179,43460188,43462452,43464776,43467872,43469905,43479531,43481132,43484082,43488046,43490707,43492421,43493793,43495586,43496171,43496547,43497784,43502566,43503353,43505868,43508975,43510796,43514932,43519721,43523277,43524085,43526734,43528542,43529557,43531204,43532609,43535304,43547305
19	45916691	45926820	NM_202001.2	0	-	ERCC1	RAD10	ENSG00000012061	ENST00000013807	45916805	45926632	45916691,45917220,45918118,45920078,45922355,45923581,45924435,45926527	45917003,45917292,45918218,45920155,45922455,45923685,45924651,45926820
13	103498190	103528351	NM_000123.3	0	+	ERCC5		ENSG00000134899	ENST00000355739	103498616	103528253	103498190,103504467,103506106,103506637,103508401,103510624,103513856,103514379,103518016,103518611,103518981,103520462,103524547,103525608,103527656	103498704,103504643,103506222,103506724,103508462,103510768,103514064,103515453,103518261,103518731,103519195,103520607,103524748,103525693,103528351
10	50662525	50747169	NM_000124.3	0	-	ERCC6	CSB,RAD26,ARMD5	ENSG00000225830	ENST00000355832	50666860	50741010	50662525,50668418,50669397,50678227,50679020,50680421,50680954,50681522,50682072,50684260,50686399,50690732,50691391,50701162,50708583,50713929,50732078,50736462,50738765,50740588,50747007	50667280,50668497,50669602,50678935,50679166,50680516,50681074,50681633,50682288,50684356,50686516,50690909,50691562,50701298,50708742,50714058,50732823,50736571,50738886,50741024,50747169
6	170151717	170181680	NM_018341.2	0	+	ERMARD	FLJ11152,dJ266L20.3	ENSG00000130023	ENST00000366773	170151753	170181609	170151717,170153959,170155378,170156433,170156814,170159063,170159933,170160737,170162524,170166733,170168198,170169635,170173414,170175365,170176035,170176550,170179277,170181425	170151759,170154128,170155518,170156535,170156904,170159161,170160070,170160852,170162627,170166763,170168267,170169809,170173498,170175442,170176161,170176769,170179391,170181680
9	37779710	37785089	NM_016042.3	0	-	EXOSC3	hRrp40p,Rrp40p,RRP40,CGI-102,p10,hRrp-40	ENSG00000107371	ENST00000327304	37780675	37785041	37779710,37781982,37783910,37784717	37780877,37782134,37784060,37785089
13	37574677	37583751	NM_181503.2	0	+	EXOSC8	OIP2,RRP43,bA421P11.3,Rrp43p,EAP2,p9,CIP3	ENSG00000120699	ENST00000389704	37574942	37583436	37574677,37576409,37576624,37577070,37578652,37580056,37580251,37581111,37582193,37582865,37583320	37574959,37576446,37576688,37577144,37578698,37580162,37580297,37581208,37582314,37582972,37583751
7	148504463	148581441	NM_004456.4	0	-	EZH2	EZH1,ENX-1,KMT6,KMT6A	ENSG00000106462	ENST00000320356	148504737	148544390	148504463,148506162,148506401,148507424,148508716,148511050,148512005,148512597,148513775,148514313,148514968,148516687,148523545,148524255,148525831,148526819,148529725,148543561,148544273,148581255	148504798,148506247,148506482,148507506,148508812,148511229,148512131,148512638,148513870,148514483,148515209,148516779,148523724,148524358,148525972,148526940,148529842,148543690,148544397,148581441
4	126237566	126414087	NM_024582.4	0	+	FAT4	CDHF14,FAT-J,CDHR11	ENSG00000196159	ENST00000394329	126237566	126412923	126237566,126319938,126328034,126329598,126336038,126337602,126355399,126367453,126369615,126384717,126389666,126397325,126398309,126400895,126402675,126408499,126411055	126242741,126320070,126328296,126329949,126336961,126337777,126355580,126367698,126373965,126384822,126389974,126397411,126398489,126401020,126402893,126408761,126414087
19	47249302	47261832	NM_024301.4	0	+	FKRP	LGMD2I,MDC1C	ENSG00000181027	ENST00000318584	47258707	47260195	47249302,47251283,47251771,47258668	47249347,47251345,47251922,47261832
9	108320410	108403399	NM_001079802.1	0	+	FKTN	LGMD2M	ENSG00000106692	ENST00000602661	108337313	108397545	108320410,108335935,108337225,108358878,108363425,108366495,108370099,108377558,108380239,108382214,108397331	108320446,108336027,108337418,108358938,108363629,108366773,108370232,108377688,108380373,108382342,108403399
X	153576899	153603006	NM_001456.3	0	-	FLNA	ABP-280	ENSG00000196924	ENST00000422373	153577216	153599613	153576899,153577729,153578016,153578398,153579276,153579948,153580251,153580548,153580920,153581139,153581368,153581663,153581921,153582282,153582518,153582748,153582983,153583192,153585801,153586566,153586812,153587351,153587613,153587851,153588099,153588357,153589675,153590037,153590346,153590609,153590785,153591028,153592389,153592626,153592893,153593188,153593503,153593716,153594391,153594675,153594929,153595099,153595764,153596008,153596209,153599240,153602873	153577404,153577933,153578235,153578575,153579409,153580064,153580389,153580815,153581043,153581292,153581572,153581825,153582095,153582411,153582659,153582851,153583079,153583440,153585991,153586723,153586936,153587522,153587774,153588014,153588273,153588955,153589938,153590155,153590516,153590700,153590946,153591152,153592533,153592740,153593087,153593325,153593627,153593854,153594592,153594838,153595007,153595218,153595912,153596106,153596458,153599729,153603006
14	76044939	76114512	NM_017791.2	0	+	FLVCR2	FLJ20371,MFSD7C	ENSG00000119686	ENST00000238667	76045315	76112815	76044939,76088421,76090954,76099971,76101252,76105694,76107297,76107524,76108185,76112743	76045984,76088563,76091095,76100039,76101356,76105805,76107403,76107636,76108241,76114512
17	42982993	42992920	NM_002055.4	0	-	GFAP	FLJ45472	ENSG00000131095	ENST00000253408	42984714	42992854	42982993,42985431,42987982,42988603,42989039,42990636,42991095,42991395,42992393	42984756,42985517,42988026,42988824,42989165,42990798,42991191,42991456,42992920
3	49758908	49761407	NM_021971.2	0	-	GMPPB	KIAA1851	ENSG00000173540	ENST00000308388	49759184	49761159	49758908,49759397,49759663,49759864,49760028,49760404,49760686,49760824,49761030	49759316,49759580,49759791,49759943,49760187,49760547,49760735,49760905,49761407
16	57653909	57698951	NM_005682.6	0	+	GPR56		ENSG00000205336	ENST00000568908	57684199	57697494	57653909,57675502,57684164,57685111,57687114,57687897,57689310,57689787,57690137,57690425,57691284,57693306,57694679,57695608,57697363	57654048,57675620,57684263,57685534,57687247,57688045,57689442,57689904,57690183,57690529,57691403,57693593,57694788,57695877,57698951
1	109419602	109473044	NM_013296.4	0	+	GPSM2	LGN,Pins	ENSG00000121957	ENST00000264126	109428144	109472562	109419602,109427896,109439485,109440113,109440580,109441263,109441500,109444411,109445747,109446746,109456959,109461234,109465038,109466621,109472322	109419850,109428200,109439707,109440249,109440723,109441387,109441616,109444567,109445856,109446876,109457030,109461411,109465198,109466836,109473044
11	124789145	124806308	NM_152722.4	0	-	HEPACAM	FLJ25530,hepaCAM,GLIALCAM	ENSG00000165478	ENST00000298251	124791033	124805902	124789145,124792283,124792640,124793235,124793624,124794623,124805817	124791336,124792354,124792714,124793329,124793906,124794965,124806308
18	44681389	44702745	NM_016097.4	0	-	IER3IP1		ENSG00000134049	ENST00000256433	44682547	44702648	44681389,44683806,44702557	44682603,44683908,44702745
7	16127151	16460947	NM_001101426.3	0	-	ISPD	hCG_1745121,IspD,Nip	ENSG00000214960	ENST00000407010	16131319	16460947	16127151,16255690,16298014,16298544,16317753,16341045,16348147,16415716,16445685,16460690	16131424,16255822,16298107,16298637,16317851,16341091,16348252,16415866,16445962,16460947
11	133938819	134021652	NM_032801.4	0	+	JAM3	JAM-C,JAMC	ENSG00000166086	ENST00000529443	133938978	134019076	133938819,134009745,134010551,134014135,134014686,134015840,134018441,134018658,134019040	133939054,134009811,134010665,134014288,134014889,134015940,134018571,134018713,134021652
16	57769659	57791162	NM_005886.2	0	+	KATNB1		ENSG00000140854	ENST00000379661	57771155	57790858	57769659,57770889,57775598,57778305,57784738,57785172,57785552,57785851,57786441,57786689,57786988,57787300,57787856,57788841,57789030,57789256,57789752,57789903,57790267,57790725	57769767,57771195,57775729,57778423,57784839,57785214,57785636,57785967,57786513,57786840,57787179,57787431,57787907,57788909,57789150,57789406,57789829,57789978,57790384,57791162
8	126036502	126104061	NM_014846.3	0	-	KIAA0196		ENSG00000164961	ENST00000318410	126036858	126096140	126036502,126040861,126044482,126049478,126051071,126052036,126056066,126056233,126056777,126059448,126061247,126062805,126067832,126068918,126069797,126071463,126071617,126073323,126075763,126079833,126085394,126087239,126088589,126090979,126093902,126094624,126095354,126095954,126103856	126036915,126040949,126044636,126049575,126051201,126052140,126056146,126056336,126056940,126059573,126061427,126062907,126067913,126069059,126069908,126071539,126071784,126073436,126075893,126079961,126085566,126087353,126088742,126091172,126094003,126094709,126095500,126096264,126104061
